PAE,kmain(),after recv(),after send()
28248,29144,68870,155836
27714,28572,67892,154722
28090,28946,68334,150552
27738,28616,68034,150644
28308,29174,69260,152958
28020,28876,68796,151428
28136,28992,68334,153526
27774,28664,68376,155342
28178,29066,68834,156754
28528,29428,68600,151130
20050,20676,49642,111614
20020,20670,49502,111346
20104,20744,49440,114952
20100,20726,49470,114254
20948,21586,50788,113104
20236,20884,49806,116136
20534,21164,50350,116312
20584,21222,49978,112024
20312,20938,49590,114318
20202,20852,49578,114386
57118,58556,136786,278200
49736,51140,123542,262772
49526,50908,120848,256706
47850,49314,118978,250928
47246,48694,116038,253760
47258,48618,115660,374226
46826,48240,115762,252652
34082,35122,83472,184912
34326,35392,83964,184188
34004,35040,83846,185546
33748,34810,83200,183378
64424,65454,114148,218980
33752,34804,83602,187270
34220,35230,84224,181542
33886,34932,83300,178742
24044,24784,59892,131294
24196,24922,59240,135048
24122,24850,58786,128662
25078,25802,60700,137040
24818,25566,61136,136644
23918,24658,60082,136134
24116,24852,60148,136558
24900,25642,60646,136254
24758,25488,60982,136168
24212,24968,60064,137956
24690,25412,60250,135910
17232,17756,42998,100372
17610,18128,43590,103198
17016,17540,42738,100988
17456,17966,42742,98614
17112,17632,43180,101290
17238,17780,42952,99066
17144,17658,42918,96926
57660,59090,136820,282282
57426,58952,135790,279388
48716,50120,122252,258302
48066,49486,119080,251462
49678,51142,119224,255434
48056,49496,116974,247962
46642,48142,114932,251418
46862,48300,114054,254138
33548,34602,82902,184050
55546,56984,134598,280402
49228,50606,122772,257850
48284,49726,119094,275810
47406,48862,117130,251040
47182,48672,117398,248638
39832,41010,97824,212186
57032,58458,135214,277408
49110,50488,122702,266562
48148,49586,119708,253366
48356,49772,118022,252062
46918,48364,116168,250680
39272,40468,96368,209552
39072,40270,96954,217146
39100,40274,95858,205904
38982,40230,96402,209660
39174,40404,96954,209730
38792,40032,95772,213798
39520,40742,97070,215110
28010,28894,69002,157674
27648,28532,68298,154220
27968,28886,68598,155300
27696,28596,68342,148596
28868,29786,69798,154800
27910,28784,68796,155622
27768,28668,68906,154700
28472,29338,69394,148800
28356,29246,69906,155382
20076,20752,49862,114816
19938,20608,50110,114340
19922,20580,49766,110518
20316,21014,50382,115700
53756,55172,128354,272966
48896,50328,118300,252424
48114,49558,115970,248846
48046,49452,115474,250444
47320,48752,113204,248378
47676,49114,113404,253658
47180,48610,113104,253552
47120,48520,112770,252164
47494,48864,113066,253562
47370,48792,113308,251090
33948,34988,81212,183646
33890,34988,81480,175812
33532,34562,81336,184436
33232,34276,81266,182858
33992,35026,81992,175582
33814,34866,81528,185156
33614,34632,81046,183212
34050,35094,81458,224432
24570,25310,58824,134770
24224,25030,58558,128784
25454,26212,59420,130538
163414,164186,198056,272230
24540,25292,59258,132118
24714,25470,59508,130024
24138,24878,58778,130884
23788,24556,58630,134542
24782,25524,59228,134740
24208,24968,58942,134584
17904,18472,43336,99318
17656,18238,43486,103614
17944,18480,43804,102202
17724,18294,43714,102682
17788,18372,43656,102094
17962,18536,44026,102848
18326,18896,44034,102524
17872,18464,43886,102956
18050,18620,43686,102034
17642,18216,43150,99030
17812,18392,43726,101872
17846,18418,43508,100594
18644,19192,44674,103822
15690,16200,38022,88466
15528,16012,38092,90174
15352,15882,37964,87880
15306,15796,37926,87902
15442,15950,38252,90902
15444,15914,37810,87362
15102,15590,37568,91092
15532,15996,37660,89504
15288,15814,37632,89486
56032,57434,134126,268308
48558,49984,121090,259488
48794,50190,117824,253978
47588,49008,116072,260440
46888,48264,114826,247494
47348,48778,115518,258520
48096,49496,115892,255372
46970,48386,115426,258106
31692,32632,77858,173898
31470,32464,77378,173828
31554,32496,77334,174588
31886,32888,78356,170536
31762,32716,78070,173978
31484,32508,78926,173614
31876,32840,77830,173200
31678,32642,77528,173004
31790,32746,77616,169424
22126,22816,55212,125732
22108,22802,55132,121548
21792,22490,55042,121536
22310,22992,54640,120142
55194,56624,130606,277416
48388,49782,120174,255876
47952,49348,119064,258206
47224,48706,116424,252642
46956,48374,116680,252696
47376,48836,115730,249436
47254,48702,115608,255306
47628,49024,115894,256390
47264,48684,115704,260754
47134,48568,115410,254046
46584,48022,134962,238970
34834,35926,83958,185900
33796,34858,83938,194564
35620,36660,86436,193898
33632,34676,83992,188310
33784,34832,83100,177846
34320,35356,83616,178426
33662,34698,82688,184700
23594,24326,59736,135174
23790,24524,58834,133784
23872,24610,59296,128074
23840,24596,58780,129392
23952,24678,58776,129098
23880,24640,58966,129850
24580,25360,59954,137176
23486,24238,58932,134056
23710,24450,58740,135184
23854,24610,59190,134960
23716,24436,59176,136084
17496,18092,43706,98770
17430,17974,44484,103514
17740,18300,43866,102264
17334,17880,43554,98580
17730,18320,44230,102958
17578,18134,43596,101152
17564,18130,43800,97472
17382,17936,43572,102162
17434,18030,43984,103494
17610,18148,44894,108378
17554,18128,44374,99634
15140,15614,37938,87512
15268,15788,37910,87126
15166,15638,38040,87264
15050,15550,38362,88520
15288,15768,38376,87464
15134,15640,37664,93576
14990,15472,37908,87244
15128,15624,37628,88074
14976,15448,37826,90148
15668,16164,38612,89938
15566,16034,38442,82182
58522,59914,136448,279440
49788,51258,121852,256358
47148,48538,118838,253474
47330,48784,116190,247322
46972,48386,116154,247128
46834,48290,116012,246834
54262,55674,129856,268644
48500,50016,120394,257150
90428,91874,160238,293668
55272,56672,131908,271762
53584,55016,130882,279876
47930,49362,120808,256538
48242,49698,119050,254136
53504,54938,130242,275960
49878,51272,122322,259620
47614,49096,151658,289024
46958,48482,116416,251360
46920,48394,116454,252320
47944,49384,116326,249696
33610,34684,82966,188114
33874,34912,84858,189696
33492,34548,84188,183598
33896,34924,82394,185306
33718,34788,82676,186372
34216,35282,84258,183578
33714,34766,83104,186862
34100,35126,83422,187126
33582,34636,82470,179174
23850,24588,58438,134148
24322,25076,59164,134738
23958,24700,58760,134694
23822,24568,59292,134512
24214,24976,59682,137480
23902,24658,59318,135142
23874,24636,59854,136286
24512,25286,59880,137468
23960,24692,59390,137700
24506,25294,59668,134222
53448,54836,130972,277048
48530,49986,123830,269898
46990,48420,117450,252632
47388,48918,117432,248714
47082,48516,117034,250298
46844,48310,117738,260924
36112,37224,88908,194736
36444,37592,89052,195204
35732,36804,88052,192544
36144,37284,88468,199920
35768,36952,88436,199288
52424,53884,128838,271292
49326,50808,121432,260454
47330,48768,117014,250286
48070,49478,117220,249872
47408,48778,116870,251612
48114,49540,116888,284242
46524,47996,115656,249050
47112,48552,115554,251204
33484,34524,82768,187564
33844,34880,83390,188236
33968,35070,84256,188582
34182,35222,84046,184310
33728,34766,82798,186278
33822,34868,83150,187426
33948,35034,83630,181346
34624,35658,84058,189350
33934,34974,111200,189766
24212,24936,60320,137386
24604,25350,60784,137922
24864,25592,60418,136868
24710,25446,59592,133610
24246,24990,59052,136832
23906,24654,60010,133412
24690,25404,59828,132718
24038,24798,60022,133238
24164,24892,60590,133862
24612,25372,60180,137130
18474,19036,46072,106696
18174,18762,45988,109102
18210,18788,46270,107512
18286,18876,46214,104488
18484,19048,46508,106530
18374,18972,46044,107900
18542,19094,45636,107560
18322,18950,46088,108608
18920,19480,47240,112092
19422,20016,47222,110234
18484,19068,45890,107042
15908,16430,39412,94368
15458,15940,39142,93998
15470,15972,39026,93042
15504,15988,38688,90038
15390,15882,38772,93028
15544,16020,38440,92268
53654,55094,130078,271370
49504,50942,121300,254982
46604,47984,116728,256356
53874,55338,130686,273196
47944,49376,120224,256292
47436,48880,118654,255172
47542,48946,117096,258128
45916,47338,114738,255270
46462,47894,115284,257254
46948,48344,114722,256144
33540,34588,82520,188306
33868,34922,83550,180458
33350,34424,83204,178504
33318,34376,82718,184972
33772,34808,83334,189708
33140,34172,82774,185834
33384,34406,82858,185562
33600,34626,82428,185800
23358,24070,56524,127852
22844,23566,56048,127234
25208,25936,62456,137628
23434,24168,58576,129254
23652,24380,58024,128314
23088,23820,57042,125396
23030,23730,56720,128346
22932,23654,57070,130898
23522,24234,56992,129882
22870,23592,57028,126326
23062,23766,56832,127280
17086,17636,42956,97014
17398,17928,42656,96146
17318,17882,42604,98920
16872,17388,42160,96092
16900,17452,42642,96100
16902,17440,42218,99724
16938,17486,42742,98562
16928,17464,42760,99280
16794,17352,42504,100468
16922,17462,42444,98138
17378,17940,43442,101172
17050,17570,42852,99142
15082,15582,37954,90276
55216,56628,130546,272558
49012,50484,120320,254568
47858,49270,117210,250654
47298,48742,116250,248576
47572,49028,116714,247088
46626,48038,115492,247212
39502,40650,96442,209404
39138,40334,96482,208320
39168,40326,96318,206718
38792,40004,95796,217090
56676,58058,132040,270282
50632,52126,123310,260166
49046,50440,119172,256296
47234,48656,117022,253638
47302,48694,116566,252756
47008,48464,115128,255512
47246,48620,115874,258482
46532,47902,114696,254948
77212,78230,127010,257184
33674,34708,85950,198318
33624,34650,83192,179224
33976,35022,83450,184858
33722,34748,83608,182394
33726,34750,82888,186014
33670,34698,83006,186832
33636,34666,84128,188976
33688,34698,83262,186598
23924,24642,59418,135632
24364,25098,59938,135150
24422,25146,60314,130788
24096,24818,59302,131800
24482,25198,59656,131036
24734,25450,60100,133506
24348,25072,60288,135006
24618,25336,60332,133890
24002,24744,59480,133632
24030,24786,59560,134776
17752,18280,44110,99498
17966,18510,43674,100342
17628,18204,43844,99962
18032,18600,44344,101566
17816,18372,43952,99360
17882,18432,44492,99568
17864,18402,43808,100186
17976,18536,44484,99796
18090,18670,44414,99950
53266,54712,130190,267654
50846,52320,123348,260598
53074,54486,129172,270052
48880,50300,120058,254604
47474,48918,117142,254798
46724,48188,115440,250130
47124,48504,115766,257672
46730,48148,114642,244764
39326,40548,96812,217360
39040,40240,95992,208210
40182,41366,96796,216734
40664,41868,97848,217994
39312,40526,95616,207102
92698,94086,164928,302900
48278,49642,119596,263882
46878,48306,114946,248352
49184,50632,116884,256738
47150,48542,113528,250782
47052,48508,117528,257184
48004,49360,113774,248342
47408,48804,113218,244166
33896,34902,82058,183618
33514,34554,81448,181006
33574,34614,81246,182736
33566,34638,81606,178500
34014,35028,81788,183306
34172,35182,81626,182640
33484,34458,80530,175808
34954,36014,82910,177866
24006,24804,58510,128324
23970,24726,57652,127652
24114,24850,57864,128124
23726,24462,57452,127700
23934,24668,58372,132632
24014,24770,57780,132716
23820,24536,57914,133080
24140,24876,58164,133442
23824,24576,58312,133112
23854,24604,58148,132516
17858,18418,43900,100106
17734,18284,43540,100786
17574,18118,42958,97808
17688,18240,43380,97522
17698,18260,43360,97352
17884,18446,43320,98518
17716,18256,43010,100600
