PAE,kmain(),after recv(),after send()
85741,87613,203967,424557
73423,75275,196427,436733
103384,106499,252914,535142
72620,74359,194950,459192
101241,103811,250731,582849
109245,113719,261708,594029
71067,72987,197036,455743
73411,75315,199150,471203
77781,79520,219032,439331
95657,97497,211859,433457
91067,92866,221344,467706
74138,76022,198868,467387
72310,74219,187943,414547
72891,74771,210499,468718
133307,137095,283204,562302
73363,75284,194999,447856
69361,71197,187172,438771
102480,106200,262528,540572
82719,84542,201143,427017
75198,77062,199073,450163
69966,71826,191061,467318
71475,73258,190568,425977
74283,76187,197621,422455
101871,104905,249731,619019
72515,74339,190221,443534
71362,73137,195886,462993
85846,87666,207942,444370
125710,128538,277955,583450
76103,78092,206207,450656
71035,72947,214864,450252
73109,74945,193320,410073
74049,75873,196831,412494
74069,75917,210326,428841
72770,74614,196161,458793
96122,98014,217850,452669
71927,73742,247221,486107
69971,71851,190799,429721
84530,86438,212548,432081
70184,72040,230389,462541
72460,74239,223898,459028
74117,76030,226266,630860
69631,71503,190492,496467
72959,74811,192796,413567
88916,90780,236348,562645
83905,85761,236904,470533
131056,133945,303345,620459
68990,70854,186442,480281
70640,72452,188968,457999
98562,101871,252486,565001
88823,90627,213170,432771
71721,73560,202026,470574
74444,76397,209398,635592
102427,105268,250093,549448
72794,74638,312814,526560
72512,74376,193461,460100
72044,73968,197738,435506
107604,110468,253906,539798
96170,98837,251554,537200
72992,74864,189669,459794
72036,73835,190984,416205
70894,72709,191852,471845
115781,118541,292855,580195
98220,100047,226444,442660
72553,74425,188435,485446
93366,95307,304660,538693
85506,87370,204427,441340
92947,94811,217124,478321
73448,75276,194652,471688
82053,83852,211572,430975
72084,73908,225028,463110
71508,73444,193470,454497
75247,77111,198593,420106
99554,101293,224123,452991
85486,87387,207465,478554
72468,74231,194555,514728
72229,74125,196818,437067
74485,76328,193042,417964
99437,102185,253970,592379
71374,73149,191182,413381
99760,105376,310978,626490
88650,90501,216732,483137
81267,83135,201668,461069
73625,75554,225669,446984
110000,112736,255234,583830
144487,149623,299351,578214
72923,74799,195140,409859
97026,99939,279292,570944
72956,74804,194724,421773
95597,99305,250416,533516
72705,74593,196374,414192
116468,120232,268685,545260
103480,106163,250824,590051
90001,91756,248306,516123
72516,74364,193934,416790
75461,77301,200450,493853
73892,75804,194531,420958
71103,72935,197475,481116
71233,73032,197520,522736
74586,76466,208337,467189
75498,77370,201478,423105
74384,76179,197008,439198
77123,78926,199489,420724
104582,107378,259216,535231
71999,73896,194752,418303
100442,103270,267284,570375
104082,107111,251663,519528
100612,103412,245668,588627
75481,77301,321625,552188
105147,107967,259498,519868
104288,107463,268019,592416
80835,82614,215921,457103
116903,119498,277028,563734
73080,74908,196382,512694
98207,100958,242226,575999
104134,107341,270556,543763
126368,129309,276793,546850
97542,101314,287316,569637
104530,107531,259204,603341
103049,105809,280373,568245
56177,57760,139372,301963
52027,53445,122473,265382
37230,38021,95452,216787
36520,37355,88986,211243
35917,36744,91720,215752
29506,30135,156814,281707
68723,69364,318022,631094
70922,72798,275361,496927
91797,93568,215514,454711
74440,76280,196431,429007
69873,71649,204411,439230
178462,181270,308295,562105
69958,71729,190698,421232
73702,75538,194039,443188
74715,77479,203270,472055
72903,74694,286876,540673
73161,74940,196338,528384
69676,71548,193304,421402
132524,135316,294174,559276
79342,81154,219569,444915
74840,76587,342907,574341
99890,102621,247064,589967
74246,76086,194498,440848
71850,73681,197358,648579
70603,72435,192602,465704
75106,76957,195236,419562
71434,73254,192465,414047
106894,109621,295563,590003
83345,85184,205384,420236
103291,106083,246495,471272
101515,104654,260793,544401
92962,94814,213456,468984
91647,93584,215030,465926
73928,75751,201091,462836
70386,72246,222502,495318
73440,75320,216821,439387
103871,106607,281683,555677
74900,76736,195491,412752
70269,72044,233351,479345
73726,75623,193514,427450
110880,112768,248795,467605
72851,74747,196266,467161
69345,71201,225935,462449
86213,88380,224576,549759
100072,102916,244962,541464
73424,75235,212436,441179
73214,75046,205465,417174
99696,102424,287324,571908
100398,103222,285855,574809
73428,75259,196257,436095
102738,105461,256698,507340
72967,74747,292815,522425
101726,104602,264832,520295
70442,72246,194551,448340
130705,133787,283063,622254
116871,119756,262108,563117
75626,79943,253269,526367
73806,75666,199541,422854
97323,99167,220016,488830
71681,73537,220602,451576
74517,76409,214324,457292
103020,106207,276446,551513
85527,87411,212601,440085
76865,78700,202878,516361
70813,72645,194159,456881
72487,74331,228331,463263
73505,75502,229724,455719
74767,76607,198250,430786
73125,74936,196975,432775
75009,76845,199969,466322
97643,100459,245285,517600
94460,96283,209705,425755
73214,75021,194575,461860
120179,123023,271262,522615
73133,74920,196624,447944
72843,74687,196988,411675
72871,74682,226572,461428
100737,102556,220307,432690
71261,73133,199804,465035
70571,72390,192920,484589
71729,73617,218346,459233
75719,77522,257948,558489
73755,75602,214699,430387
74057,75900,189253,459366
100035,103815,252627,545821
70708,72649,196080,427740
104941,107668,254091,519294
133517,136333,286609,556447
113502,116157,328193,652339
74735,77584,240944,558151
204919,208195,338937,569665
84269,86225,211577,457333
73710,75538,196709,491178
72213,74017,198126,440945
71560,73432,193328,426889
72149,74001,194495,411889
76938,78822,217834,443071
72116,73887,213686,442772
72512,74384,195305,465640
72241,74020,197314,468895
75348,77208,219133,433994
72871,74771,195632,417258
115524,119227,265449,592129
73154,75050,237071,474411
73912,75695,203499,423149
104207,106906,255173,538805
75634,77583,204822,475298
75437,77265,198501,458507
38737,39667,103095,230113
40224,41158,110331,277526
74190,75986,193869,452108
92680,94536,234476,520355
74804,76676,196133,561128
74432,76268,193716,422225
74170,76022,217406,468190
72548,74347,191214,420631
87544,89372,237813,469682
106204,109286,272053,618692
76207,78051,199796,531410
42109,43227,113841,287985
54826,55718,169101,290848
24546,25100,64346,156802
101596,104307,246902,521751
71398,73189,212907,453613
72032,73928,265598,534009
103646,105538,237272,471268
73573,75409,197133,429273
100450,103113,240011,559235
74924,76768,229853,561608
77107,78947,211960,477578
101117,104195,252297,564889
72863,74727,200474,411425
100915,102759,219194,444956
101572,105498,250590,609530
75602,77446,202430,469517
75683,77603,199312,479059
72427,74214,193926,431335
103888,106777,268136,571283
96380,99010,246111,602929
