PAE,kmain(),after recv(),after send()
397756,398388,615276,942816
394500,395108,614204,913788
383168,383776,604556,917068
381308,381936,591732,931060
516948,517556,730472,1133740
365316,365944,586036,894448
386420,387012,621224,968372
376924,377532,589564,956968
406968,407592,623824,1008680
410164,410780,647124,945732
424904,425544,644392,1037980
376836,377440,598292,892560
378948,379548,599404,899732
356140,356732,573820,896944
389160,389788,592236,971656
390016,390616,628128,932520
362164,362792,601480,907024
367012,367636,584540,915516
368548,369176,574464,930040
436948,437560,656104,977108
370652,371292,590164,897104
355832,356416,570260,874692
366860,367472,576528,867476
360476,361084,581332,888996
368140,368760,584936,887596
387800,388412,627808,911864
395856,396504,614820,936260
377712,378344,615896,935856
363896,364492,576936,864664
378192,378808,599300,994492
382188,382752,599036,920780
374244,374860,608800,934336
354344,354944,572344,875368
360976,361576,568928,859672
363488,364096,595480,920672
464976,465608,683180,981904
365352,365964,584212,885340
459168,459764,677392,991192
369512,370100,600808,985520
351912,352500,570964,872240
379940,380572,598960,937184
417056,417672,644624,997360
379616,380248,661316,959472
372932,373532,590060,874940
382012,382592,597156,906332
376132,376776,604920,909216
365712,366316,582408,884380
442148,442756,668080,977908
388920,389528,604508,888872
356048,356676,572008,877624
442492,443188,666912,1003008
361556,362144,590572,897536
428620,429204,640324,932924
372364,372984,585872,872864
454780,455420,661604,954916
535400,536028,753700,1057156
371652,372268,586356,878464
406156,406804,619792,909880
428460,429060,683428,1001580
397456,398088,609080,902100
373068,373684,588944,889492
462676,463280,721744,1027172
392884,393464,606864,885984
381948,382572,601376,901204
386788,387420,604884,908664
372308,372912,590588,906804
399984,400592,616620,915400
375308,375920,593744,910932
364976,365584,583620,884676
371536,372160,602372,879788
364352,364956,581972,879196
364924,365556,600112,921528
396164,396784,603116,898492
359016,359632,573772,877404
422100,422724,641932,942836
375468,376072,590168,882552
381632,382232,621684,925620
417236,417864,622176,922308
361040,361660,577144,873456
384688,385320,604008,908104
372944,373592,581888,873148
372364,372960,603844,918480
361624,362228,620716,922120
394676,395280,610588,922496
372624,373236,590948,893616
487112,487720,780376,1094632
364172,364792,580812,886144
357232,357844,574572,869628
381464,382108,600064,876716
363044,363676,579576,877264
688024,688788,1095332,1612032
354980,355624,572532,878124
415980,416580,662796,1095180
376680,377276,661472,1001640
412284,412916,630748,934936
475176,475812,714828,1006272
377176,377816,595704,897280
407500,408128,621568,948492
526748,527328,741072,1040020
363508,364116,577276,965356
408244,408872,631568,956252
407404,407984,625068,955944
359832,360452,575200,878812
368040,368624,579376,861280
391988,392592,599564,874172
390600,391208,609764,919572
362520,363132,580188,902696
369656,370304,589992,892600
460776,461392,701628,1019108
362488,363120,583220,881832
347088,347700,559900,853080
353644,354244,569612,869436
356208,356788,572632,905864
368756,369376,581780,877580
409584,410192,624604,927396
384488,385120,593780,888424
374004,374660,574500,853828
580448,581072,819964,1157584
586212,586824,807508,1221112
364424,365060,578388,895148
386092,386724,620224,940888
362552,363172,582728,885484
497416,498032,721960,1112560
425364,425992,660184,980972
361428,362032,579440,904888
369240,369832,585112,895996
352752,353372,565496,855996
442928,443524,687584,989816
362072,362664,574412,875464
381368,381976,600556,982052
360940,361544,578472,930116
