# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
116, 41, 2993, 2433, 222, 171792, 8037, 301
117, 39, 3019, 2928, 215, 123494, 6568, 301
118, 36, 2974, 2679, 220, 157695, 7111, 311
119, 34, 5648, 3169, 226, 98583, 7706, 296
120, 34, 3141, 3252, 226, 93670, 6524, 299
121, 36, 3540, 2867, 224, 297123, 7735, 314
122, 38, 3381, 4645, 220, 101109, 7479, 313
123, 36, 3058, 2407, 220, 324423, 7318, 305
124, 36, 4107, 5418, 214, 105641, 8912, 319
125, 34, 3486, 2754, 218, 232033, 7034, 311
126, 40, 2972, 2513, 216, 91756, 6582, 313
127, 37, 6096, 4186, 220, 170212, 9494, 300
128, 38, 20070, 9993, 220, 185469, 8299, 297
129, 35, 4290, 7438, 222, 166142, 10514, 300
130, 39, 3992, 2632, 950, 287794, 9963, 311
131, 38, 4545, 2207, 220, 140749, 8654, 317
132, 36, 3026, 2491, 216, 296341, 8266, 297
133, 40, 2975, 2492, 223, 83942, 6606, 315
134, 35, 2995, 3040, 224, 304045, 8121, 305
135, 36, 3016, 2154, 224, 75742, 6602, 299
136, 36, 3012, 2171, 222, 71761, 6534, 315
137, 36, 3379, 2241, 224, 143025, 8038, 321
138, 36, 4658, 3233, 220, 193482, 12541, 321
139, 37, 4278, 2836, 232, 322666, 6806, 301
140, 36, 3607, 3845, 217, 81356, 7189, 299
141, 36, 3282, 2994, 220, 287769, 7091, 296
142, 36, 3042, 2334, 220, 73996, 6550, 317
143, 36, 2982, 2673, 220, 254606, 9648, 297
144, 38, 2984, 2529, 218, 79784, 6687, 315
145, 34, 2975, 2143, 218, 83568, 7131, 320
146, 38, 4285, 2911, 240, 82864, 6623, 296
147, 38, 2967, 2187, 216, 70329, 6582, 313
148, 38, 2988, 2169, 217, 120601, 6615, 310
149, 38, 2965, 2227, 220, 69127, 6604, 315
150, 36, 3032, 2178, 212, 171966, 6705, 315
151, 38, 2984, 2213, 216, 70337, 6538, 300
152, 37, 2991, 2175, 220, 118565, 6677, 295
153, 38, 2996, 2189, 215, 69730, 6621, 317
154, 34, 3030, 2158, 224, 69587, 6578, 315
155, 35, 3252, 2174, 216, 72875, 6596, 319
156, 36, 3006, 2175, 217, 69200, 6651, 298
157, 36, 2957, 2205, 220, 113940, 6679, 317
158, 35, 2959, 2189, 219, 69059, 6677, 310
159, 36, 2943, 2171, 218, 118660, 6667, 311
160, 38, 2987, 2153, 218, 68808, 6596, 301
161, 36, 3038, 2165, 218, 112425, 6675, 316
162, 36, 3010, 2175, 219, 69365, 6665, 313
163, 36, 2982, 2176, 220, 69254, 6615, 300
164, 39, 3316, 2340, 220, 69429, 6582, 317
165, 37, 2941, 2134, 216, 69264, 6586, 301
166, 36, 3010, 2201, 216, 119616, 6647, 300
167, 36, 2941, 2195, 226, 69454, 6647, 316
168, 37, 2977, 2150, 224, 111979, 6696, 316
169, 37, 2955, 2126, 218, 82741, 37509, 296
170, 37, 3066, 2316, 220, 165151, 6689, 311
171, 38, 2998, 2239, 216, 69578, 6744, 299
172, 36, 3004, 2171, 226, 68927, 6630, 313
