# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
116, 62, 6600, 6070, 398, 260504, 14320, 536
117, 66, 6448, 5678, 392, 170792, 13530, 528
118, 66, 9200, 6296, 400, 165946, 17870, 532
119, 68, 6714, 5926, 390, 167222, 13674, 532
120, 66, 6390, 5806, 394, 170232, 13562, 562
121, 66, 7344, 5650, 406, 266574, 15872, 562
122, 64, 6204, 5548, 392, 166922, 13508, 530
123, 64, 6282, 7390, 394, 277038, 16666, 532
124, 66, 6722, 6126, 396, 165698, 14484, 568
125, 66, 6406, 5694, 394, 284004, 13678, 528
126, 60, 9170, 6346, 394, 195592, 15436, 562
127, 68, 6268, 5418, 394, 166124, 13670, 530
128, 70, 6548, 7672, 390, 170540, 20118, 562
129, 62, 6572, 6222, 396, 168830, 14174, 536
130, 64, 6356, 5616, 392, 277630, 14014, 532
131, 68, 9164, 6390, 402, 167060, 17878, 528
132, 66, 6206, 5232, 394, 262466, 13818, 554
133, 68, 6260, 5784, 394, 169620, 13540, 538
134, 68, 7344, 6160, 398, 271758, 15634, 528
135, 64, 6184, 5484, 398, 166484, 13544, 532
136, 64, 6238, 7336, 394, 168832, 17246, 528
137, 68, 7182, 6492, 392, 168426, 14190, 524
138, 62, 6262, 5484, 392, 169490, 13634, 566
139, 68, 9180, 6550, 396, 265080, 18290, 542
140, 66, 6250, 5668, 386, 165118, 13716, 532
141, 64, 6234, 5422, 394, 279352, 14074, 532
142, 66, 7396, 6496, 394, 166710, 15378, 532
143, 66, 6180, 5536, 396, 262372, 13560, 530
144, 66, 6302, 7444, 396, 170382, 16626, 536
145, 64, 6580, 6100, 390, 166298, 14894, 528
146, 70, 6662, 6104, 396, 171022, 13604, 534
147, 68, 9154, 6300, 392, 169626, 17954, 530
148, 64, 6170, 5628, 402, 260878, 13716, 530
149, 62, 6302, 5448, 394, 171178, 14162, 528
150, 70, 7366, 6008, 402, 300780, 16480, 528
151, 64, 6342, 5798, 392, 170092, 13518, 530
152, 68, 9164, 6402, 394, 276484, 17978, 528
153, 60, 6168, 5932, 390, 165532, 13826, 564
154, 58, 6284, 5660, 396, 168826, 13504, 532
155, 68, 7824, 6644, 384, 168014, 15712, 540
156, 64, 6238, 5634, 396, 166324, 13856, 534
157, 66, 6366, 7276, 388, 284612, 16696, 528
158, 66, 6584, 5988, 404, 166862, 14298, 532
159, 68, 6158, 5546, 394, 265376, 13704, 560
160, 64, 9142, 6610, 398, 166660, 17928, 540
161, 64, 6156, 5862, 394, 274580, 13736, 536
162, 68, 6242, 5548, 392, 168196, 13522, 530
163, 66, 7500, 5870, 402, 167828, 15662, 538
164, 64, 6632, 6078, 398, 167252, 13612, 562
165, 68, 6230, 7046, 398, 169690, 16912, 532
166, 62, 6696, 5750, 396, 262912, 14242, 558
167, 64, 6326, 5378, 402, 169888, 13932, 528
168, 66, 9204, 6058, 396, 278684, 18040, 528
169, 66, 6172, 5574, 396, 166896, 14614, 554
170, 68, 6296, 5478, 392, 267364, 13734, 528
171, 58, 7378, 6124, 398, 167016, 15462, 534
172, 64, 6248, 5492, 386, 166464, 13832, 530
173, 66, 6904, 7908, 392, 170222, 16572, 528
174, 64, 6554, 6112, 386, 165476, 14244, 532
175, 64, 6300, 5788, 396, 313956, 14290, 538
176, 66, 7436, 5796, 400, 168118, 15426, 532
