trial,vm,rust,c
159,0.00031412,0.00009899,0.00009883
160,0.00031343,0.00009897,0.00009892
161,0.00031384,0.00009904,0.00009884
162,0.00031252,0.00009897,0.00009884
163,0.00033641,0.00009909,0.00009891
164,0.00031385,0.00009899,0.00009879
165,0.00031295,0.00009891,0.00009892
166,0.00031327,0.00009895,0.00009881
167,0.00031384,0.00009905,0.00009896
168,0.00031318,0.00009894,0.00009878
169,0.00034317,0.00009914,0.00009898
170,0.00033190,0.00009909,0.00009880
171,0.00031302,0.00009898,0.00009888
172,0.00031299,0.00009894,0.00009894
173,0.00031372,0.00009916,0.00009896
174,0.00031328,0.00009907,0.00009886
175,0.00032898,0.00009901,0.00009892
176,0.00031290,0.00009899,0.00009887
177,0.00032205,0.00009898,0.00015406
178,0.00031496,0.00009913,0.00009886
179,0.00031268,0.00009899,0.00009888
180,0.00031332,0.00009908,0.00009886
181,0.00034153,0.00009901,0.00009880
182,0.00031366,0.00009899,0.00009888
183,0.00031285,0.00009907,0.00009895
184,0.00032399,0.00009902,0.00009903
185,0.00031371,0.00009907,0.00009894
186,0.00031298,0.00009906,0.00009893
187,0.00031438,0.00009903,0.00009881
188,0.00031448,0.00009918,0.00009889
189,0.00031243,0.00016548,0.00009893
190,0.00031844,0.00009911,0.00009881
191,0.00032404,0.00009907,0.00009890
192,0.00031345,0.00011268,0.00009899
193,0.00031426,0.00009895,0.00009892
194,0.00031311,0.00009899,0.00009891
195,0.00031325,0.00009897,0.00009881
196,0.00031304,0.00009907,0.00009880
197,0.00031313,0.00009899,0.00009894
198,0.00033108,0.00011245,0.00009886
199,0.00031540,0.00009900,0.00009873
200,0.00031384,0.00009906,0.00009881
201,0.00031392,0.00009894,0.00009887
202,0.00031282,0.00009904,0.00009875
203,0.00031306,0.00009899,0.00009886
204,0.00032850,0.00009896,0.00009889
205,0.00032348,0.00009899,0.00009896
206,0.00032495,0.00009594,0.00009582
207,0.00030353,0.00009590,0.00009576
208,0.00030319,0.00009583,0.00009582
209,0.00030367,0.00009611,0.00009575
210,0.00031822,0.00009587,0.00010719
211,0.00032060,0.00009598,0.00009574
212,0.00030358,0.00012888,0.00009576
213,0.00030418,0.00009596,0.00009580
214,0.00030361,0.00009585,0.00009583
215,0.00030389,0.00009598,0.00009584
216,0.00033234,0.00009602,0.00009578
217,0.00030370,0.00009587,0.00009575
218,0.00030364,0.00009595,0.00009579
219,0.00030319,0.00009593,0.00012850
220,0.00037803,0.00009588,0.00009584
221,0.00030402,0.00009589,0.00009572
222,0.00033255,0.00009584,0.00009580
223,0.00030331,0.00009579,0.00009575
224,0.00030334,0.00009590,0.00009581
225,0.00030440,0.00009599,0.00009584
226,0.00030335,0.00009588,0.00009592
227,0.00030522,0.00009595,0.00009578
228,0.00033114,0.00009593,0.00009588
229,0.00030327,0.00009594,0.00009573
230,0.00030335,0.00009598,0.00009580
231,0.00030311,0.00009583,0.00010961
232,0.00031840,0.00011979,0.00009570
233,0.00034145,0.00010854,0.00010783
234,0.00045047,0.00010951,0.00012358
235,0.00033528,0.00009912,0.00009885
236,0.00031331,0.00009902,0.00009899
237,0.00031328,0.00009902,0.00009878
238,0.00031726,0.00009899,0.00009884
239,0.00031308,0.00009897,0.00011217
240,0.00031389,0.00010755,0.00009880
241,0.00031407,0.00009901,0.00009890
242,0.00041010,0.00009908,0.00009888
243,0.00031362,0.00009918,0.00009881
244,0.00031270,0.00009896,0.00009893
245,0.00034361,0.00009891,0.00009892
246,0.00031284,0.00009898,0.00009885
247,0.00033640,0.00011105,0.00009899
248,0.00031325,0.00009903,0.00009879
249,0.00031999,0.00009893,0.00009890
250,0.00031292,0.00009882,0.00009895
251,0.00032850,0.00009903,0.00009885
252,0.00031390,0.00009899,0.00009890
253,0.00031257,0.00009900,0.00009882
254,0.00031232,0.00010707,0.00009892
255,0.00031436,0.00009905,0.00009895
256,0.00031291,0.00009896,0.00009888
257,0.00045790,0.00009890,0.00009888
258,0.00031370,0.00009894,0.00009890
259,0.00031286,0.00009911,0.00009894
260,0.00038746,0.00009895,0.00009896
261,0.00032380,0.00009912,0.00009894
262,0.00031258,0.00011292,0.00009900
263,0.00031399,0.00009896,0.00009886
264,0.00031314,0.00009895,0.00009890
265,0.00031294,0.00009893,0.00009885
266,0.00031345,0.00009887,0.00009886
267,0.00031347,0.00009904,0.00009896
268,0.00032313,0.00011235,0.00009886
269,0.00031447,0.00009891,0.00009894
270,0.00031290,0.00009885,0.00009897
271,0.00031284,0.00009892,0.00009888
272,0.00043619,0.00009905,0.00009886
273,0.00032601,0.00011114,0.00009885
274,0.00038221,0.00012484,0.00009897
275,0.00036373,0.00009901,0.00011199
276,0.00036444,0.00011306,0.00010220
277,0.00033312,0.00009902,0.00009883
278,0.00031282,0.00009896,0.00009881
279,0.00031272,0.00009892,0.00011230
280,0.00031344,0.00009901,0.00009906
281,0.00031265,0.00009898,0.00011436
282,0.00031347,0.00009894,0.00009893
283,0.00039190,0.00009913,0.00009895
284,0.00031337,0.00009899,0.00009887
285,0.00034317,0.00009894,0.00009883
286,0.00031292,0.00009900,0.00009904
287,0.00031280,0.00009918,0.00009890
288,0.00031286,0.00009907,0.00010981
289,0.00031337,0.00009890,0.00009890
290,0.00033827,0.00009909,0.00009883
291,0.00037160,0.00009904,0.00009885
292,0.00035600,0.00009894,0.00009896
293,0.00035613,0.00009915,0.00009886
294,0.00035696,0.00009899,0.00009895
295,0.00034778,0.00009904,0.00009896
296,0.00042157,0.00011233,0.00009877
297,0.00031417,0.00009897,0.00009889
298,0.00031306,0.00009897,0.00009883
299,0.00031345,0.00009889,0.00009885
300,0.00031292,0.00009904,0.00009883
301,0.00031307,0.00009901,0.00009889
302,0.00035274,0.00009891,0.00009879
303,0.00031321,0.00009893,0.00009885
304,0.00031250,0.00009906,0.00009888
305,0.00031260,0.00009895,0.00009877
306,0.00031277,0.00009901,0.00009896
307,0.00031264,0.00009899,0.00009884
308,0.00034295,0.00009912,0.00009882
309,0.00039350,0.00009895,0.00009875
310,0.00031423,0.00009896,0.00009893
311,0.00031944,0.00009905,0.00009886
312,0.00031303,0.00009886,0.00009887
313,0.00031271,0.00009910,0.00009885
314,0.00032645,0.00009889,0.00009895
315,0.00031368,0.00009893,0.00009891
316,0.00032726,0.00009901,0.00009876
317,0.00031284,0.00009907,0.00009886
318,0.00031233,0.00009915,0.00009886
319,0.00031283,0.00009892,0.00009899
320,0.00040290,0.00009902,0.00009890
321,0.00031383,0.00009909,0.00009886
322,0.00031372,0.00009896,0.00009882
323,0.00038959,0.00009907,0.00009889
324,0.00031368,0.00009914,0.00009881
325,0.00031330,0.00011237,0.00009888
326,0.00031412,0.00009894,0.00009889
327,0.00031311,0.00009896,0.00009894
328,0.00031248,0.00009906,0.00009879
329,0.00031317,0.00009904,0.00009889
330,0.00032188,0.00015153,0.00009881
331,0.00034544,0.00009906,0.00009891
332,0.00031354,0.00009902,0.00009889
333,0.00031314,0.00009908,0.00009892
334,0.00031276,0.00009896,0.00009904
335,0.00031257,0.00009896,0.00009886
336,0.00031414,0.00009890,0.00009883
337,0.00034110,0.00009899,0.00009890
338,0.00031327,0.00009908,0.00009883
339,0.00031302,0.00009909,0.00009892
340,0.00031297,0.00009896,0.00009882
341,0.00031300,0.00009902,0.00009878
342,0.00035674,0.00009893,0.00009892
343,0.00032797,0.00009904,0.00009883
344,0.00032516,0.00009896,0.00009879
345,0.00031334,0.00009898,0.00009876
346,0.00031322,0.00009897,0.00009896
347,0.00031319,0.00009903,0.00009877
348,0.00031224,0.00009908,0.00009884
349,0.00036276,0.00009902,0.00009888
350,0.00031491,0.00009904,0.00009891
351,0.00032364,0.00009890,0.00009889
352,0.00031811,0.00009604,0.00009569
353,0.00030429,0.00009592,0.00009578
354,0.00030443,0.00009590,0.00010914
355,0.00030511,0.00009578,0.00009573
356,0.00040227,0.00009607,0.00009574
357,0.00030352,0.00009598,0.00009586
358,0.00074954,0.00009598,0.00009580
359,0.00030486,0.00009590,0.00009583
360,0.00031479,0.00009594,0.00009580
361,0.00030304,0.00009606,0.00009571
362,0.00030339,0.00009585,0.00009587
363,0.00030272,0.00009589,0.00009585
364,0.00030283,0.00012616,0.00009902
365,0.00031410,0.00009899,0.00010915
366,0.00031436,0.00009590,0.00009584
367,0.00034736,0.00009592,0.00009592
368,0.00030307,0.00009583,0.00009584
369,0.00030282,0.00009592,0.00009589
370,0.00030283,0.00009585,0.00010883
371,0.00032284,0.00010429,0.00010888
372,0.00030477,0.00009591,0.00009576
373,0.00030348,0.00009584,0.00009585
374,0.00030349,0.00009584,0.00009581
375,0.00039162,0.00009606,0.00009577
376,0.00031212,0.00009591,0.00009575
377,0.00030288,0.00009593,0.00010863
378,0.00030369,0.00011648,0.00010812
379,0.00030365,0.00009591,0.00009578
380,0.00030360,0.00009600,0.00009587
381,0.00030321,0.00009588,0.00009579
382,0.00030315,0.00009593,0.00009581
383,0.00030246,0.00012868,0.00013360
384,0.00032007,0.00011024,0.00009570
385,0.00030391,0.00009592,0.00012739
386,0.00030381,0.00009606,0.00009579
387,0.00030351,0.00009582,0.00009574
388,0.00030367,0.00009594,0.00009587
389,0.00030335,0.00010901,0.00009568
390,0.00030497,0.00009592,0.00009579
391,0.00030343,0.00009577,0.00009584
392,0.00041498,0.00009604,0.00012208
393,0.00030487,0.00009579,0.00009585
394,0.00030323,0.00009585,0.00009577
395,0.00031718,0.00009593,0.00009580
396,0.00030359,0.00009589,0.00009568
397,0.00030293,0.00009590,0.00009574
398,0.00030287,0.00009597,0.00009585
399,0.00030306,0.00009586,0.00009565
400,0.00033678,0.00009583,0.00009577
401,0.00030314,0.00012828,0.00010727
402,0.00030439,0.00009595,0.00009573
403,0.00030348,0.00009590,0.00009573
404,0.00038733,0.00009588,0.00009582
405,0.00033508,0.00009593,0.00009575
406,0.00030312,0.00009589,0.00009572
407,0.00036770,0.00009602,0.00009569
408,0.00030350,0.00009580,0.00009578
409,0.00030307,0.00009585,0.00009572
410,0.00030275,0.00009599,0.00009589
411,0.00033014,0.00009587,0.00009583
412,0.00030304,0.00009587,0.00009570
413,0.00033196,0.00009588,0.00016444
414,0.00035631,0.00009595,0.00009582
415,0.00030309,0.00009593,0.00009580
416,0.00030301,0.00009591,0.00009577
417,0.00030313,0.00009594,0.00009577
418,0.00030291,0.00009586,0.00009581
419,0.00034604,0.00009593,0.00009584
420,0.00030342,0.00009575,0.00009581
421,0.00034319,0.00009893,0.00009898
422,0.00031362,0.00010804,0.00009576
423,0.00030288,0.00009588,0.00009584
424,0.00033467,0.00009593,0.00009578
425,0.00036411,0.00009595,0.00009581
426,0.00030267,0.00009595,0.00009573
427,0.00030231,0.00009592,0.00009580
428,0.00031917,0.00009600,0.00009575
429,0.00040063,0.00009592,0.00009578
430,0.00030295,0.00009585,0.00009582
431,0.00031879,0.00009594,0.00009581
432,0.00030311,0.00009586,0.00009582
433,0.00030313,0.00009597,0.00009584
434,0.00030254,0.00009584,0.00009585
435,0.00030297,0.00010413,0.00009576
436,0.00030392,0.00009598,0.00009585
437,0.00031584,0.00009598,0.00009575
438,0.00030342,0.00009594,0.00009584
439,0.00030318,0.00009584,0.00015045
440,0.00030539,0.00009584,0.00009575
441,0.00030398,0.00009585,0.00009580
442,0.00030417,0.00009588,0.00010405
443,0.00031621,0.00009596,0.00009572
444,0.00030428,0.00009592,0.00009582
445,0.00046690,0.00012057,0.00009572
446,0.00030520,0.00009585,0.00009585
447,0.00039766,0.00010944,0.00009582
448,0.00031789,0.00009599,0.00009571
449,0.00031483,0.00009595,0.00009574
450,0.00031856,0.00009596,0.00009583
451,0.00030354,0.00009582,0.00009587
452,0.00030335,0.00009592,0.00009589
453,0.00030380,0.00009589,0.00009582
454,0.00030329,0.00010899,0.00009572
455,0.00030414,0.00009587,0.00009583
456,0.00032361,0.00016253,0.00010819
457,0.00030725,0.00009592,0.00009580
458,0.00030476,0.00009589,0.00009577
459,0.00030492,0.00009598,0.00009578
460,0.00033403,0.00009587,0.00009581
461,0.00030483,0.00009587,0.00009578
462,0.00030362,0.00009599,0.00009586
463,0.00030319,0.00009584,0.00010404
464,0.00030396,0.00009584,0.00009573
465,0.00030373,0.00009590,0.00009578
466,0.00033255,0.00009595,0.00009574
467,0.00031829,0.00009591,0.00009587
468,0.00036887,0.00009594,0.00009581
469,0.00030500,0.00009577,0.00009580
470,0.00030285,0.00009590,0.00010639
471,0.00030488,0.00009579,0.00009583
472,0.00033339,0.00009580,0.00009581
473,0.00040335,0.00009601,0.00009585
474,0.00030405,0.00009584,0.00009586
475,0.00030302,0.00009596,0.00009574
476,0.00030348,0.00009582,0.00009577
477,0.00030258,0.00009591,0.00009577
478,0.00033193,0.00009891,0.00009894
479,0.00031742,0.00009594,0.00009580
480,0.00030294,0.00009596,0.00009575
481,0.00030312,0.00009589,0.00009575
482,0.00036909,0.00010988,0.00009573
483,0.00030390,0.00009589,0.00009576
484,0.00031634,0.00009595,0.00009576
485,0.00033874,0.00009603,0.00009577
486,0.00030355,0.00009595,0.00009570
487,0.00030297,0.00009580,0.00009581
488,0.00030303,0.00009600,0.00009582
489,0.00030291,0.00009598,0.00009583
490,0.00034282,0.00009590,0.00009585
491,0.00030306,0.00009593,0.00009580
492,0.00033666,0.00009588,0.00009582
493,0.00030266,0.00009588,0.00009579
494,0.00030280,0.00009597,0.00009584
495,0.00032831,0.00016338,0.00009893
496,0.00030545,0.00009599,0.00009582
497,0.00030335,0.00009590,0.00009577
498,0.00030319,0.00009588,0.00009577
499,0.00031331,0.00009596,0.00009581
500,0.00030321,0.00009599,0.00009574
501,0.00030287,0.00009585,0.00009582
502,0.00031537,0.00009584,0.00009580
503,0.00030302,0.00009604,0.00009573
504,0.00030352,0.00009581,0.00009587
505,0.00030318,0.00009585,0.00009582
506,0.00030294,0.00010363,0.00009585
507,0.00030338,0.00009583,0.00009567
508,0.00034175,0.00009579,0.00009563
509,0.00030295,0.00009586,0.00009584
510,0.00030341,0.00009589,0.00009579
511,0.00030327,0.00009590,0.00009587
512,0.00030292,0.00009599,0.00009577
513,0.00030282,0.00009590,0.00009583
514,0.00033272,0.00009594,0.00009578
515,0.00030280,0.00009586,0.00009587
516,0.00030311,0.00009594,0.00009585
517,0.00030287,0.00009595,0.00009573
518,0.00030293,0.00009585,0.00009577
519,0.00036833,0.00010768,0.00009577
520,0.00031609,0.00009585,0.00009584
521,0.00034837,0.00009595,0.00009573
522,0.00030302,0.00009584,0.00009575
523,0.00030230,0.00009593,0.00009583
524,0.00031771,0.00009587,0.00009579
525,0.00030308,0.00009591,0.00009587
526,0.00031497,0.00009582,0.00009578
527,0.00030324,0.00009584,0.00009572
528,0.00031007,0.00009586,0.00009561
529,0.00030315,0.00009598,0.00009581
530,0.00030286,0.00009595,0.00009585
531,0.00030305,0.00009591,0.00009577
532,0.00033110,0.00009593,0.00009575
533,0.00030407,0.00009584,0.00009577
534,0.00030283,0.00009596,0.00009579
535,0.00030330,0.00011856,0.00009881
536,0.00031437,0.00009899,0.00010777
537,0.00030287,0.00009596,0.00009577
538,0.00034630,0.00009602,0.00009579
539,0.00040093,0.00010737,0.00009580
540,0.00030346,0.00009591,0.00009580
541,0.00030248,0.00009593,0.00009569
542,0.00030288,0.00011224,0.00009587
