n,latency,throughput,is_vm
5,0.000048389,309987.80714625225,false
5,0.000041668,359988.48036862817,false
5,0.000123258,121695.95482646156,false
5,0.000038403,390594.4848058746,false
5,0.000048905,306717.10459053266,false
5,0.000051962,288672.4914360494,false
5,0.000034711,432139.6675405491,false
5,0.018219116,823.3110761246594,false
5,0.000087908,170632.93443145105,false
5,0.000198665,75503.98912742556,false
5,0.000026955,556483.0272676684,false
5,0.000064236,233513.9174294788,false
5,0.000040644,369058.1635665781,false
5,0.000030861,486050.354816759,false
5,0.000037927,395496.61191235797,false
5,0.00004488,334224.5989304813,false
5,0.000046889,319904.4552027128,false
5,0.000041278,363389.6991133291,false
5,0.00003747,400320.256204964,false
5,0.000033871,442856.721088837,false
5,0.000051352,292101.573453809,false
5,0.000048775,307534.59764223476,false
5,0.00004409,340213.20027217054,false
5,0.000029561,507425.32390649844,false
5,0.000036491,411060.2614343263,false
5,0.000041645,360187.2973946452,false
5,0.000048379,310051.88201492385,false
5,0.000042638,351798.8648623294,false
5,0.000060907,246277.1110053032,false
5,0.000191092,78496.22171519478,false
5,0.000039323,381456.14525850007,false
5,0.000195501,76725.95025089386,false
5,0.000054969,272881.0784260219,false
5,0.000053986,277849.8129144593,false
5,0.000056732,264401.04350278503,false
5,0.000061004,245885.51570388826,false
5,0.00003904,384221.31147540984,false
5,0.000032429,462548.95309753617,false
5,0.000058049,258402.38419266482,false
5,0.000039181,382838.62076006224,false
5,0.000044831,334589.90430728736,false
5,0.000032302,464367.531422203,false
5,0.000033637,445937.50929036475,false
5,0.000052899,283559.235524301,false
5,0.000045095,332631.11209668475,false
5,0.000045551,329301.22280520736,false
5,0.000037046,404902.01371268154,false
5,0.000047423,316302.21622419497,false
5,0.000043762,342763.1278277958,false
5,0.000067095,223563.603845294,false
5,0.00003227,464828.01363495504,false
5,0.000048314,310469.01519228384,false
5,0.000071998,208339.12053112587,false
5,0.00002498,600480.384307446,false
5,0.000045626,328759.9175908473,false
5,0.000032054,467960.3169651213,false
5,0.000048417,309808.5383233162,false
5,0.018137337,827.0232835173102,false
5,0.000044343,338272.1060821325,false
5,0.000328941,45600.882833091644,false
5,0.000100561,149163.19447897296,false
5,0.000050511,296965.01752093603,false
5,0.000044031,340669.0740614567,false
5,0.000054712,274162.8893113028,false
5,0.000047183,317911.11205307,false
5,0.000036179,414605.15768816165,false
5,0.000059649,251471.10596992407,false
5,0.000047099,318478.09932270326,false
5,0.000067235,223098.08879303932,false
5,0.000039352,381175.03557633667,false
5,0.000044593,336375.6643419371,false
5,0.000034539,434291.67028576386,false
5,0.000033494,447841.4044306443,false
5,0.000038341,391226.10260556586,false
5,0.00005857,256103.80740993682,false
5,0.000039258,382087.72734219773,false
5,0.000042254,354995.97671226395,false
5,0.00003958,378979.2824658919,false
5,0.000037012,405273.96520047553,false
5,0.000033704,445051.03251839546,false
5,0.000048641,308381.8178080221,false
5,0.018068279,830.1842140028942,false
5,0.000037743,397424.6880216199,false
5,0.00019604,76514.99693940012,false
5,0.000075793,197907.4584724183,false
5,0.000068943,217571.0369435621,false
5,0.000042893,349707.41146574036,false
5,0.000045902,326783.14670384733,false
5,0.00004392,341530.05464480876,false
5,0.000045418,330265.53348892514,false
5,0.000032237,465303.84340974654,false
5,0.000039776,377111.8262268705,false
5,0.000048032,312291.80546302465,false
5,0.00003285,456621.0045662101,false
5,0.000036165,414765.65740356705,false
5,0.000041568,360854.50346420327,false
5,0.000039946,375506.93436138786,false
5,0.000036934,406129.85325174633,false
5,0.000058109,258135.57280283605,false
5,0.000044315,338485.8400090263,false
