PAE,kmain(),after recv(),after send()
39026,39520,79344,160816
39938,40394,79762,164502
45562,46094,90782,180690
39976,40470,79686,165452
38912,39368,79116,160018
40090,40584,79762,163970
38760,39216,79230,160132
39330,39748,78850,159524
39748,40204,79800,164350
38988,39482,78470,158764
38380,38798,75012,152076
38722,39178,78698,164388
38342,38798,77900,154736
38760,39254,78356,158004
39216,39710,78508,157016
39406,39862,79040,159752
39558,40052,78964,164464
38076,38570,77748,163096
38190,38646,77748,161614
39596,40014,79496,158536
38532,39026,78508,156560
39406,39824,78888,158840
38608,39102,78546,162906
41230,41686,83106,178182
39748,40204,79572,159790
44270,44802,93708,212952
24396,24662,50616,100244
24282,24548,52022,103588
38494,38988,81244,159904
40926,41382,85918,174762
41078,41572,82460,167808
49894,50464,96178,192242
41002,41496,81244,160322
40660,41154,81282,160816
44308,44764,88312,176358
38874,39330,79344,157890
38646,39102,79116,157890
39064,39520,79762,159144
50464,50996,98952,197638
38304,38760,78242,156484
44878,45448,90212,180538
38418,38874,78964,158080
38912,39368,78736,157434
39634,40090,79762,158384
38494,38950,78052,157092
38342,38836,78660,161196
38570,39026,78318,156750
37962,38456,77596,154546
39140,39634,78622,155800
38114,38570,77330,155496
39216,39710,80370,166250
38456,38950,77862,154052
40090,40584,80750,165870
39216,39710,79990,164236
38570,39026,78812,155990
38988,39482,78926,158726
39520,40014,79876,165072
41230,41686,81776,169138
39938,40432,80978,166858
40090,40546,79990,163020
38988,39482,78698,156788
38874,39368,79420,165604
39976,40470,80636,165376
39254,39748,80408,160474
39976,40470,80332,164046
39672,40166,80560,162906
39178,39672,79876,160018
38912,39406,79382,161120
38836,39292,79116,165186
39140,39634,79610,159486
38684,39178,79002,158954
39064,39558,79686,161310
38798,39254,79116,163096
39938,40394,80522,160550
49666,50350,97470,199804
49210,49780,98648,200298
38836,39292,79002,159220
42674,43130,84132,163514
39330,39786,79572,158156
39976,40432,80142,158878
39824,40318,79990,158688
39102,39596,78812,156484
38304,38798,78508,157206
39520,39938,79686,159904
39634,40090,80104,159296
39520,39976,79876,159638
38988,39482,79002,160056
38570,39064,78774,158840
38950,39444,79192,159562
39140,39634,79534,159524
38456,38950,78242,158080
41344,41762,81890,161842
38570,39064,78850,158764
38988,39482,79610,159714
39672,40166,79876,159372
39748,40242,79990,159144
39216,39672,80104,161006
38684,39178,80256,162070
39140,39596,79420,159524
39672,40128,80218,159752
39976,40432,80066,156446
39026,39482,79040,159030
38760,39216,78926,161082
39102,39558,80446,159562
38988,39444,78964,161652
39254,39748,79420,159410
39710,40204,79914,160892
39672,40166,80788,160702
39824,40318,80750,161158
39672,40166,82460,161880
30628,31008,62206,125666
39634,40052,79838,158992
39026,39520,78888,159296
39406,39824,79686,161120
39292,39786,79344,161348
38608,39064,78698,158308
38874,39292,79002,158688
39596,40090,80066,160094
39102,39558,79572,158612
38988,39444,79382,158080
30818,31160,62624,127376
39178,39634,80446,161044
38874,39330,78812,159106
39254,39862,79990,159030
39558,40052,80142,159296
39140,39634,79116,159600
38798,39254,79496,159296
38798,39292,78964,159182
39710,40166,79952,160322
40090,40584,80978,161462
