# trial, First Instruction, Load 32-bit GDT, Protected Mode Enable, Protected Transition, Paging identity mapping, Load 64-bit GDT, Jump to 64-bit
116, 116, 506, 6164, 570, 56914, 2098, 2244
117, 114, 510, 6180, 572, 56974, 2098, 2218
118, 114, 506, 6192, 556, 56982, 2102, 2222
119, 114, 510, 6146, 562, 56974, 2094, 2222
120, 116, 506, 6136, 564, 57070, 2106, 2220
121, 116, 506, 6154, 572, 56966, 2106, 2244
122, 112, 504, 6144, 564, 56930, 2106, 2228
123, 116, 506, 6146, 564, 56844, 2096, 2220
124, 114, 502, 6154, 562, 57006, 2102, 2228
125, 112, 502, 6162, 564, 57000, 2098, 2220
126, 116, 504, 6162, 562, 56976, 2098, 2226
127, 114, 502, 6170, 572, 56940, 2106, 2238
128, 112, 504, 6162, 564, 57008, 2106, 2232
129, 112, 512, 6162, 572, 56974, 2098, 2218
130, 116, 498, 6162, 564, 56840, 2094, 2234
131, 112, 504, 6160, 560, 56940, 2102, 2218
132, 114, 502, 6154, 562, 56950, 2096, 2212
133, 114, 502, 6162, 562, 56932, 2102, 2240
134, 114, 502, 6162, 568, 56988, 2096, 2220
135, 116, 506, 6150, 568, 56944, 2094, 2226
136, 114, 506, 6150, 562, 56862, 2090, 2234
137, 112, 504, 6160, 564, 56922, 2094, 2214
138, 114, 502, 6144, 560, 56962, 2106, 2218
139, 114, 502, 6146, 570, 56940, 2098, 2236
140, 112, 512, 6140, 576, 56932, 2096, 2220
141, 112, 504, 6152, 564, 56956, 2094, 2214
142, 112, 504, 6152, 556, 56922, 2096, 2228
143, 120, 502, 6138, 562, 56940, 2106, 2220
144, 112, 504, 6136, 562, 56984, 2098, 2244
145, 114, 502, 6146, 572, 56938, 2098, 2244
146, 112, 512, 6140, 572, 57066, 2096, 2212
147, 120, 502, 6154, 564, 56956, 2094, 2222
148, 114, 502, 6144, 564, 56984, 2096, 2224
149, 116, 504, 6144, 568, 57014, 2096, 2220
150, 120, 502, 6146, 564, 57068, 2098, 2218
151, 114, 510, 6150, 568, 56800, 2098, 2218
152, 114, 506, 6140, 564, 56944, 2094, 2234
153, 76, 336, 4094, 378, 37940, 1432, 1510
154, 76, 336, 4098, 378, 38012, 1436, 1514
155, 76, 340, 4094, 386, 38004, 1436, 1504
156, 76, 336, 4098, 378, 38008, 1432, 1512
157, 76, 332, 4106, 374, 38018, 1436, 1508
158, 76, 332, 4094, 374, 37986, 1428, 1514
159, 76, 336, 4098, 374, 37998, 1432, 1508
160, 74, 336, 4104, 382, 37966, 1442, 1516
161, 76, 336, 4102, 382, 37990, 1432, 1518
162, 76, 336, 4108, 374, 38062, 1430, 1508
163, 76, 336, 4098, 382, 38032, 1440, 1504
164, 76, 336, 4098, 374, 37960, 1432, 1514
165, 76, 336, 4104, 378, 38006, 1432, 1510
166, 78, 338, 4106, 380, 38002, 1428, 1508
167, 76, 338, 4094, 378, 37976, 1432, 1528
168, 76, 340, 4098, 374, 38048, 1430, 1512
169, 74, 336, 4108, 374, 37970, 1436, 1514
170, 76, 336, 4104, 376, 38012, 1428, 1508
171, 76, 340, 4100, 382, 37988, 1432, 1514
172, 78, 336, 4100, 374, 38020, 1438, 1526
173, 76, 336, 4094, 372, 38004, 1428, 1520
174, 76, 336, 4108, 372, 37942, 1438, 1520
175, 76, 336, 4104, 382, 38074, 1438, 1516
176, 76, 338, 4104, 384, 37970, 1436, 1522
177, 76, 336, 4108, 374, 37986, 1430, 1522
178, 76, 338, 4100, 374, 38036, 1432, 1506
179, 76, 336, 4106, 374, 37998, 1438, 1520
180, 76, 336, 4100, 376, 37956, 1434, 1512
181, 80, 334, 4096, 376, 38026, 1428, 1508
182, 78, 338, 4092, 378, 37990, 1428, 1520
183, 76, 336, 4094, 378, 37994, 1442, 1512
184, 76, 334, 4094, 380, 38016, 1432, 1512
185, 76, 338, 4104, 374, 37964, 1428, 1518
186, 76, 336, 4102, 374, 38036, 1428, 1516
187, 76, 340, 4260, 374, 38048, 1430, 1508
188, 76, 336, 4106, 380, 38012, 1428, 1516
189, 76, 340, 4226, 378, 38126, 1440, 1504
190, 76, 340, 4118, 386, 38004, 1436, 1508
191, 76, 336, 4098, 374, 38036, 1442, 1512
192, 76, 334, 4090, 374, 37898, 1436, 1508
193, 76, 336, 4098, 374, 37964, 1432, 1514
194, 76, 332, 4108, 372, 38018, 1436, 1510
195, 78, 338, 4106, 378, 38070, 1428, 1516
196, 76, 336, 4098, 374, 37992, 1438, 1504
197, 74, 336, 4104, 374, 38048, 1428, 1504
198, 76, 336, 4108, 374, 37950, 1432, 1518
199, 76, 336, 4092, 374, 38022, 1428, 1522
200, 76, 336, 4094, 378, 38020, 1428, 1514
201, 76, 336, 4098, 382, 38000, 1430, 1510
202, 76, 340, 4104, 382, 37994, 1436, 1514
203, 76, 336, 4102, 374, 37886, 1436, 1526
204, 78, 336, 4090, 374, 38040, 1432, 1518
205, 76, 336, 4090, 374, 37978, 1438, 1512
206, 76, 336, 4102, 374, 38014, 1432, 1516
207, 76, 340, 4090, 386, 38000, 1432, 1506
208, 76, 340, 4094, 384, 38078, 1436, 1508
209, 78, 336, 4100, 382, 38004, 1440, 1522
210, 76, 338, 4114, 378, 38018, 1432, 1516
