Platform, cli, lgdt, prot, in 32, id map, long, in 64
Hyper-V,  134, 712,4424, 232,15532, 904, 848
Hyper-V,  134, 758,4434, 234,15556, 920, 854
Hyper-V,  134, 698,4426, 232,15510, 906, 852
Hyper-V,  134, 664,4418, 234,15552, 840, 854
Hyper-V,  134, 720,4432, 236,15504,1332, 850
Hyper-V,  134, 686,4422, 232,15600, 906, 850
Hyper-V,  134, 692,4720, 238,15594,1354, 848
Hyper-V,  134, 664,4432, 238,15634, 922, 852
Hyper-V,  134, 694,4420, 234,15556, 910, 852
Hyper-V,  134, 712,4444, 238,15622, 908, 850
Hyper-V,  134, 686,4442, 234,15548, 836, 852
Hyper-V,  134, 698,4426, 234,15498,1332, 856
Hyper-V,  134, 702,4444, 236,15510, 940, 850
Hyper-V,  134, 810,4418, 238,15550, 946, 846
Hyper-V,  134, 692,4446, 236,15518, 838, 844
Hyper-V,  134, 712,4424, 236,15546,1320, 856
Hyper-V,  148, 720,4464, 246,15802, 928, 852
Hyper-V,  134, 724,4428, 236,15638,1338, 854
Hyper-V,  134, 730,4428, 232,15580, 908, 858
Hyper-V,  148, 712,4514, 248,15860, 900, 852
Hyper-V,  134, 684,4438, 234,15502, 900, 850
Hyper-V,  134, 700,4426, 238,15568, 902, 854
Hyper-V,  134, 688,4434, 234,15538, 920, 844
Hyper-V,  134, 656,4428, 234,15514, 910, 852
Hyper-V,  134, 704,4434, 234,15518, 910, 846
Hyper-V,  148, 664,4462, 248,15530, 906, 850
Hyper-V,  134, 694,4422, 236,15502, 904, 848
Hyper-V,  148, 666,4470, 246,15532, 920, 852
Hyper-V,  134, 700,4440, 234,15520, 910, 850
Hyper-V,  134, 724,4412, 234,15564, 932, 848
Hyper-V,  134, 674,4468, 234,15522,1358, 850
Hyper-V,  134, 708,4412, 232,15522, 902, 848
Hyper-V,  148, 738,4454, 250,16882, 928, 850
Hyper-V,  134, 754,4486, 236,15554, 940, 856
Hyper-V,  134, 674,4450, 236,15504, 924, 846
Hyper-V,  136, 664,4422, 236,15508,1342, 848
Hyper-V,  134, 676,4426, 234,15514, 900, 856
Hyper-V,  134, 686,4510, 236,15464,1116, 858
Hyper-V,  148, 694,4496, 248,15506, 902, 852
Hyper-V,  134, 664,4438, 234,15788, 938, 854
Hyper-V,  148, 736,4626, 248,15606, 938, 850
Hyper-V,  148, 778,4456, 246,15514, 892, 856
Hyper-V,  134, 684,4426, 234,15612, 908, 856
Hyper-V,  134, 736,4414, 232,15540,1350, 848
Hyper-V,  134, 732,4436, 232,15512, 898, 860
Hyper-V,  134, 706,4442, 236,15480,1338, 854
Hyper-V,  134, 728,4434, 232,15504,1620, 854
Hyper-V,  134, 718,4434, 234,15484,1318, 854
Hyper-V,  148, 722,4468, 250,15522, 840, 856
Hyper-V,  134, 698,4450, 232,15536,1322, 854
Hyper-V,  134, 694,4454, 232,15494, 906, 852
Hyper-V,  134, 734,4424, 234,15542, 902, 852
Hyper-V,  132, 698,4426, 234,15502,1328, 846
Hyper-V,  134, 700,4440, 238,15480, 906, 850
Hyper-V,  134, 690,4438, 232,15516, 892, 856
Hyper-V,  134, 696,4418, 236,15494, 930, 854
Hyper-V,  134, 704,4432, 238,15484, 924, 858
Hyper-V,  148, 724,4482, 246,15662, 898, 850
Hyper-V,  134,1000,4494, 234,15506,1336, 854
Hyper-V,  134, 708,4440, 234,15506,1342, 850
Hyper-V,  134, 666,4428, 236,15496, 910, 850
Hyper-V,  134, 686,4864, 236,15592, 900, 848
Hyper-V,  134, 716,4424, 236,15492, 904, 852
Hyper-V,  134, 698,4432, 234,15498, 908, 856
Hyper-V,  134, 672,4438, 232,15568, 912, 844
Hyper-V,  134, 692,4456, 238,15526, 900, 848
Hyper-V,  134, 696,4424, 228,15522, 904, 860
Hyper-V,  134, 692,4418, 232,15562, 912, 848
Hyper-V,  134, 712,4488, 234,15580, 836, 850
Hyper-V,  134, 736,4420, 234,15532, 906, 860
Hyper-V,  134, 698,4426, 232,15520, 928, 854
Hyper-V,  134, 694,4434, 232,15512,1426, 848
Hyper-V,  134, 686,4442, 238,15508, 918, 854
Hyper-V,  134, 622,4582, 232,15666, 836, 854
Hyper-V,  134, 670,4448, 232,15902, 832, 854
Hyper-V,  148, 652,4468, 250,15562, 842, 858
Hyper-V,  132, 714,4424, 236,15510,1088, 852
