Platform, cli, lgdt, prot, in 32, id map, long, in 64
KVM Noserial,   81, 162,53857, 188,240058, 641, 156
KVM Noserial,   75, 169,56053, 196,248626, 665, 155
KVM Noserial,   86, 175,55881, 175,248688, 654, 166
KVM Noserial,   38, 158,55907, 164,246946, 651, 169
KVM Noserial,   86, 161,55738, 175,273141, 633, 161
KVM Noserial,   86, 158,56124, 172,305263, 676, 165
KVM Noserial,   89, 168,89123, 196,276362, 636, 156
KVM Noserial,   81, 167,54759, 188,239726, 635, 156
KVM Noserial,   29, 159,53806, 190,240171, 633, 159
KVM Noserial,   86, 172,55637, 193,248138, 651, 158
KVM Noserial,   27, 169,55426, 196,247235, 654, 166
KVM Noserial,   86, 169,55706, 196,318782, 651, 166
KVM Noserial,   38, 161,55806, 193,247574, 668, 155
KVM Noserial,   75, 169,56219, 182,247698, 651, 169
KVM Noserial,   38, 158,52992, 182,248839, 654, 166
KVM Noserial,   89, 168,58225, 195,257052, 679, 165
KVM Noserial,   89, 171,57757, 174,277901, 654, 166
KVM Noserial,   89, 171,57316, 202,278704, 654, 166
KVM Noserial,   27, 158,56082, 161,279375, 679, 165
KVM Noserial,   38, 161,56062, 196,246471, 651, 169
KVM Noserial,   38, 158,55227, 199,247963, 668, 155
KVM Noserial,   86, 172,55397, 199,247853, 665, 158
KVM Noserial,   89, 171,57634, 199,279004, 651, 169
KVM Noserial,   38, 161,56252, 196,277462, 676, 175
KVM Noserial,   27, 168,61018, 202,284070, 654, 166
KVM Noserial,   82, 178,57331, 199,279133, 665, 155
KVM Noserial,   86, 158,55863, 196,246750, 651, 169
KVM Noserial,   27, 169,55465, 172,247003, 654, 166
KVM Noserial,   38, 158,56074, 172,247603, 654, 166
KVM Noserial,   38, 158,55993, 182,246729, 654, 169
KVM Noserial,   75, 172,56077, 196,246955, 654, 166
KVM Noserial,   75, 169,56092, 172,247630, 654, 166
KVM Noserial,   27, 169,54820, 196,247913, 665, 155
KVM Noserial,   27, 172,55551, 196,283965, 679, 165
KVM Noserial,   86, 161,56192, 182,247139, 651, 166
KVM Noserial,   27, 169,55186, 172,246412, 665, 155
KVM Noserial,   86, 169,56086, 196,248361, 654, 169
KVM Noserial,   27, 169,56101, 196,246495, 665, 155
KVM Noserial,   27, 169,55940, 193,247211, 654, 166
KVM Noserial,   27, 169,55723, 182,246393, 630, 158
KVM Noserial,   27, 172,55801, 196,246409, 665, 155
KVM Noserial,   27, 169,55548, 193,247360, 662, 155
KVM Noserial,   38, 158,55557, 193,247829, 651, 166
