PAE,kmain(),after recv(),after send()
21000,21240,56970,122040
21090,21300,56820,118650
21540,21720,57480,117030
20940,21180,57120,117420
21540,21810,57630,119580
21000,21210,57450,117870
21420,21630,56790,117600
20940,21180,56700,117420
21090,21270,57870,118950
20910,21150,57330,121380
21390,21630,58500,120930
21090,21300,57330,119970
21090,21300,57480,120840
21060,21270,57420,119850
20970,21120,56700,120510
21480,21690,63270,128460
21210,21450,57030,122190
21510,21750,56310,118980
21720,21900,57600,119460
21090,21300,57120,120420
21660,21870,57420,117750
21060,21300,56760,119370
21360,21600,56850,119010
21000,21240,57000,120240
22380,22620,58110,121020
21120,21330,57660,120060
21510,21750,57330,115740
21090,21270,57660,119460
21000,21210,57720,120780
20910,21120,56160,115590
21690,21900,57630,117810
21180,21420,57390,120540
21540,21810,57150,119910
21090,21330,57750,118740
21210,21420,56550,117840
21150,21360,56610,118830
21090,21330,56160,119370
21000,21210,57150,119610
20910,21150,57300,119400
21480,21720,57420,120810
21060,21270,56100,118200
21030,21270,57090,120870
21060,21240,58440,119220
21750,21960,58650,119130
21000,21180,56640,117240
21060,21300,56850,118530
20970,21180,57750,118860
20730,20970,57900,117060
21000,21240,56640,120060
21030,21270,59130,120360
21990,22230,57360,116190
21120,21360,57240,118530
20850,21060,56970,118050
20910,21150,58620,118920
20910,21150,57210,119040
21390,21600,57210,121080
21480,21720,57120,117660
21810,22050,58800,121500
21240,21480,57210,120090
21630,21900,56940,119760
20970,21180,57780,122070
21000,21210,56760,116700
21870,22050,58620,121800
21630,21870,56670,117030
20940,21180,56310,119040
21870,22110,56820,119340
21120,21390,56940,141900
21720,21960,57390,117930
21330,21540,56760,119670
21240,21510,56970,119130
21120,21330,56040,116640
21210,21420,56790,117780
21720,21900,57960,117420
21480,21720,59580,119940
20850,21090,56430,118830
20910,21150,57060,117540
21090,21360,56310,115950
21060,21330,56250,120300
21480,21720,58080,142020
21210,21480,57300,120420
21060,21270,56700,118380
21150,21390,56640,118020
21180,21450,56580,117390
21450,21660,56940,119310
20880,21090,56190,119670
21090,21330,57150,121650
20880,21120,57720,118560
20910,21150,56550,119010
20970,21210,56670,119340
21060,21270,57090,119580
20970,21210,56670,120630
20910,21150,57990,118380
20880,21120,57030,120360
20970,21180,56700,117450
21660,21900,57990,118140
20880,21060,58590,122400
21360,21570,56670,115800
20940,21180,57630,119400
21810,22020,57300,118200
20910,21120,57480,118110
20790,21000,56220,115890
20760,21000,56910,120390
21030,21240,56700,121620
20880,21060,57120,120300
20730,20970,56160,119760
20910,21150,57150,121470
22290,22470,58470,119880
20850,21090,56220,118890
21030,21240,56850,118350
20790,21000,57630,120690
21000,21240,57330,120750
21330,21570,56520,117150
20910,21150,56640,119550
21150,21330,57090,118890
20880,21090,58350,119310
21180,21420,56940,119430
21480,21720,57420,117840
21060,21300,56670,115050
21030,21270,57660,120150
20910,21150,56670,118920
21270,21510,56760,116520
21420,21660,57510,122940
20970,21210,57030,116610
21150,21390,57390,119010
20880,21090,57450,120150
21120,21360,57210,122490
21390,21630,56730,118950
21000,21210,57300,120270
20880,21090,56400,119460
21210,21450,57570,120270
20790,21030,56250,118140
21480,21720,57150,120660
21210,21450,57480,120600
20820,21060,78360,144270
21120,21360,56880,118050
21360,21600,58440,120540
20940,21150,56130,115800
20880,21120,56370,119370
21360,21600,57120,119820
22140,22320,58470,121080
20910,21150,57120,117750
20910,21150,56880,117810
21000,21240,56970,118920
21360,21600,57540,117060
21090,21330,56910,117480
21660,21870,57300,118590
21420,21660,57660,119460
21150,21390,58410,121020
20970,21210,56580,119220
21510,21750,56880,118620
21030,21240,56400,118350
21000,21240,57360,117750
21780,22020,57990,119040
21090,21300,56550,120960
20970,21180,56550,119040
21150,21390,56220,119640
21060,21270,57570,118770
21240,21480,56430,118770
20940,21150,57150,119280
22110,22320,58620,122070
20970,21180,56820,117270
20940,21180,56460,117210
21360,21600,57300,116310
20910,21060,56910,119130
21390,21600,57720,118770
20970,21210,56910,119580
21330,21510,57000,117000
21060,21300,58590,118110
20850,21090,57420,118620
20880,21090,56640,118260
21450,21690,56850,119640
21090,21270,56580,118500
22230,22470,58470,122730
20940,21180,58410,119520
21150,21360,57480,119400
24930,25140,66360,131070
21180,21390,59610,121890
21180,21420,57570,119580
20880,21030,56250,117240
21030,21240,56790,117330
21120,21360,57870,119430
21750,21990,57240,117360
22050,22320,57780,121350
21150,21360,57240,120510
22290,22500,57930,117870
21090,21330,56730,118020
21000,21240,56580,119790
22710,22920,64440,125310
21120,21360,57150,120030
21060,21240,56610,116310
21690,21900,58260,118290
21000,21240,57600,117450
20940,21150,57090,120420
20880,21120,56940,120720
21000,21240,57660,123600
21360,21600,58350,120420
20730,20970,56490,120450
21750,21960,56850,118560
21000,21240,58020,121020
20910,21120,56790,118800
20820,21030,56490,120480
20880,21090,56550,118290
21120,21300,57870,120990
21000,21240,56820,117450
21000,21240,56310,117750
21480,21720,57570,121620
20970,21210,57900,119070
21120,21330,57360,115980
21570,21810,58110,118320
21000,21240,57750,117960
20910,21120,57750,117990
21120,21360,57990,118680
21000,21210,59370,120390
21000,21210,58170,119490
21000,21240,57030,117990
21570,21810,57090,118800
20970,21180,56430,118440
20910,21120,57510,119520
20940,21180,56730,118560
20850,21060,57000,120000
20910,21150,57480,120630
21090,21330,56340,119340
21540,21750,56970,117030
20970,21180,57660,121230
21600,21840,57540,118050
21030,21270,56790,119190
20880,21120,55860,118350
21120,21330,56880,117510
21600,21840,59370,121470
21030,21240,56790,119100
21210,21480,57420,120330
21150,21360,56880,117570
21120,21390,56610,117510
21150,21330,56340,119730
20850,21060,57750,119700
21000,21240,57030,119520
20850,21060,56130,116040
21510,21690,57360,117570
21810,22020,58830,118530
21000,21240,57330,118290
21030,21240,57450,121710
21000,21210,58380,120720
20970,21150,56460,118890
20940,21090,56490,117540
20940,21150,56760,119820
21120,21330,56460,119850
21510,21750,58200,119490
21300,21540,57930,118740
21390,21630,57330,118080
21240,21390,57600,118470
20940,21150,56670,118950
21150,21390,56670,119130
20940,21150,57660,119520
21030,21270,56490,119070
22050,22260,58530,119460
21540,21750,56970,116340
21480,21720,58530,118290
20970,21180,56310,115350
21060,21270,57030,117180
21000,21210,57300,118380
21390,21630,58020,118440
21540,21780,57120,118530
20970,21210,56370,117690
20850,21090,58170,117780
20910,21120,56490,116730
21030,21240,57810,119760
20940,21150,56790,120030
20940,21180,57720,123210
22410,22620,58650,119610
20850,21060,57780,118680
24780,25020,65370,130530
22020,22260,58440,120330
21540,21750,57930,119340
20910,21120,56310,118140
20790,21030,56910,120210
21000,21240,57150,120030
20880,21090,55860,118080
21030,21240,57150,119400
20880,21120,56430,117000
21450,21690,56760,115560
21360,21540,57150,116910
21480,21690,56820,117450
21510,21750,56970,118710
21120,21360,56700,118440
21450,21630,56520,116400
21060,21300,56880,119130
20940,21180,57540,119730
20910,21120,56820,120750
21960,22200,57750,118920
21180,21390,57510,118740
21570,21780,57510,118890
21600,21840,564480,627420
20970,21210,56910,117390
20880,21120,56610,117750
21420,21660,57480,119790
20910,21150,57060,119010
21210,21420,57600,119490
21840,22020,58440,123060
20970,21120,56700,118560
21000,21240,56910,119220
20880,21150,56430,117480
21000,21240,56100,115770
21060,21270,56700,117810
21090,21330,56790,116790
21720,21960,57360,118800
21750,21990,57750,117840
20970,21210,58290,117990
22920,23190,64590,126030
21060,21270,58020,119130
21090,21300,56490,117690
20850,21060,57090,119310
21000,21240,59580,120600
21480,21660,56850,119130
21180,21420,56160,116820
21570,21810,58290,118500
21150,21390,59460,122400
20910,21120,56580,121950
21510,21750,57480,118680
21060,21270,56520,120390
20940,21210,56130,118590
21060,21270,57480,121590
21120,21330,56940,117810
20940,21150,56370,116910
21420,21660,57180,117660
20910,21150,56880,117990
21000,21270,57300,118500
21030,21270,57780,119400
21540,21750,57210,116520
21450,21690,57810,117930
21270,21510,58680,118830
21030,21240,57780,118620
20850,21090,57870,120270
20820,21060,56490,117390
21570,21810,57210,119070
21180,21390,56610,116730
20940,21150,57930,118110
20880,21090,56760,117600
21960,22170,56880,117300
21060,21300,57150,122250
20970,21210,56880,117840
21000,21240,58470,119790
21030,21270,57030,117570
20970,21180,56670,119640
21060,21300,57630,119670
21000,21210,57300,121470
21750,21990,58080,118380
21060,21270,57090,117990
21360,21630,56880,118320
21000,21240,57210,118710
20970,21210,56700,116340
20910,21120,56400,120120
20970,21180,56730,117330
22320,22530,58020,117570
21570,21750,56940,117240
20970,21210,57150,120870
20940,21180,57150,117540
20880,21120,56910,117930
21150,21390,57630,120960
21150,21420,57270,119640
21060,21300,56910,122430
21480,21720,57240,117480
21180,21420,57030,118620
21150,21420,58200,118260
21600,21810,57300,117780
20970,21180,56910,121290
21000,21210,56820,117420
21120,21360,56670,117780
22110,22350,57360,117900
21030,21240,56370,116370
21150,21360,56760,117720
22320,22560,58620,118200
21060,21270,56970,118050
21000,21210,57120,117150
21030,21270,57660,120180
21060,21300,58110,118050
21000,21210,56250,115620
21510,21750,57390,116340
21090,21300,57810,118800
21480,21690,58920,120090
20880,21120,56400,119160
21990,22140,57660,118500
21030,21270,57210,120660
21030,21240,57090,119850
23340,23550,60660,124260
21000,21240,56850,118050
20970,21180,56610,116580
21030,21240,56820,117750
21210,21450,56880,117120
20970,21210,57660,122130
21030,21240,56550,116730
21000,21240,57240,117690
21240,21480,57000,119070
21000,21240,57060,118320
21630,21870,57300,120540
21030,21240,56760,119730
21090,21330,57450,116940
20940,21150,58290,119190
21150,21420,57330,120960
20940,21180,57840,118350
21060,21300,56970,116460
20940,21150,55770,118290
21060,21300,56700,117900
21330,21540,56430,118020
21270,21510,57450,119430
21570,21810,56910,118320
20940,21150,56880,116970
21540,21750,57600,121770
20910,21120,57810,121200
21630,21780,57720,120000
21000,21210,56910,120210
21330,21570,57990,118800
21510,21720,57150,117210
21480,21660,57990,119310
21690,21840,57180,118410
21360,21600,58110,123960
21660,21900,57960,118260
21030,21270,57990,117870
21060,21270,56640,118020
20910,21120,56610,116040
21480,21720,57660,118980
20940,21180,78120,138900
21150,21360,57030,116610
21120,21360,56670,116040
20970,21210,56220,116790
21210,21450,57090,120120
21060,21300,57840,120120
21390,21540,57270,120150
20880,21120,56520,119910
20730,20910,58320,119040
21090,21330,56580,116190
20940,21150,56250,118950
21210,21450,57030,118170
20820,21060,57060,121170
21030,21270,57420,120960
21630,21840,57090,119880
21210,21420,56940,119040
21180,21420,56970,120360
21150,21390,56760,117600
21000,21240,57180,116460
21000,21240,57210,117270
20910,21150,56880,117810
21330,21540,56940,115920
21000,21150,56100,119940
21000,21240,58710,119700
21750,21990,56940,115080
21420,21660,57210,154380
21450,21690,57540,120060
21240,21480,56670,119700
20940,21180,56490,120090
21510,21750,57120,120540
21570,21750,57540,121230
21150,21360,57990,120240
21720,21930,58620,121500
21660,21900,57210,120960
21030,21210,56730,117510
21270,21540,56610,116760
21060,21300,56160,119190
21720,21960,56490,115830
20760,21000,56340,119070
21600,21840,58110,120210
21090,21300,56520,117090
20850,21090,56910,118800
21180,21360,56820,117150
21510,21750,57030,116550
20970,21210,56760,119250
21090,21330,57180,116370
21060,21300,56790,118650
21120,21330,56760,119220
21000,21210,57330,121200
20880,21120,56610,117840
20880,21120,56790,118620
20940,21180,57750,118800
20850,21060,57030,118050
20910,21120,56850,118320
20880,21090,57360,117450
20790,21000,57720,119430
20880,21090,56970,121560
22080,22290,57810,120480
20730,20940,56640,119670
21630,21870,58050,119340
20910,21120,56130,115920
20880,21090,57090,119850
21030,21240,57180,117330
21600,21840,57960,119430
21120,21330,56190,118620
22170,22320,57510,116970
20910,21150,57270,117780
20970,21180,56730,119880
20880,21090,56610,116670
21210,21450,57060,118290
20880,21090,57480,120690
