# trial, us for 1000 calls
0, 88321
1, 71904
2, 69267
3, 70461
4, 67067
5, 65166
6, 62396
7, 67565
8, 69510
9, 66780
10, 64945
11, 66724
12, 66321
13, 66005
14, 68419
15, 62915
16, 71152
17, 69848
18, 62176
19, 64642
20, 64228
21, 62834
22, 64726
23, 64046
24, 60634
25, 70926
26, 58491
27, 61594
28, 56975
29, 56734
30, 52195
31, 52089
32, 62563
33, 54530
34, 53615
35, 55623
36, 60958
37, 64477
38, 54612
39, 51611
40, 52690
41, 50937
42, 51495
43, 51015
44, 49665
45, 49203
46, 47280
47, 50339
48, 53757
49, 53770
50, 57132
51, 59249
52, 56785
53, 55615
54, 55686
55, 53507
56, 54579
57, 56911
58, 54286
59, 50588
60, 50788
61, 52105
62, 51325
63, 51782
64, 52267
65, 55404
66, 55345
67, 53237
68, 49820
69, 53134
70, 55425
71, 52031
72, 51218
73, 50647
74, 49009
75, 51750
76, 52377
77, 53518
78, 54984
79, 57975
80, 55872
81, 56242
82, 56377
83, 55949
84, 57460
85, 56357
86, 55652
87, 55858
88, 54039
89, 58615
90, 50163
91, 49356
92, 50690
93, 50026
94, 50400
95, 50855
96, 51832
97, 49271
98, 47141
99, 47080
