n,latency,throughput,is_vm
10,0.000088131,2008373.8979473738,false
10,0.000131054,1350588.3071100463,false
10,0.000082804,2137577.8947876915,false
10,0.000112262,1576668.8639076445,false
10,0.000125786,1407151.8292973782,false
10,0.000098244,1801636.7411750336,false
10,0.000140989,1255417.0892764684,false
10,0.018794196,9417.801112641371,false
10,0.000151632,1167299.7784108897,false
10,0.000110639,1599797.5397463825,false
10,0.000131209,1348992.828235868,false
10,0.000120331,1470942.6498574766,false
10,0.000087205,2029700.1318731722,false
10,0.000185774,952770.5706934233,false
10,0.000207724,852092.1992644086,false
10,0.000127792,1385063.2277450857,false
10,0.000129885,1362743.965815914,false
10,0.000138133,1281373.7484887752,false
10,0.01889595,9367.086597921776,false
10,0.000113872,1554376.8441759169,false
10,0.000112597,1571977.9390214658,false
10,0.00009765,1812596.0061443932,false
10,0.000116906,1514036.9185499463,false
10,0.018917602,9356.365568955305,false
10,0.000208413,849275.237149314,false
10,0.000096022,1843327.5707650331,false
10,0.000081306,2176961.1098811897,false
10,0.000078823,2245537.470027784,false
10,0.000169125,1046563.1929046563,false
10,0.000090128,1963873.6019882832,false
10,0.000080388,2201821.1673384085,false
10,0.018747237,9441.391283419525,false
10,0.000201256,879476.8851611877,false
10,0.000154743,1143832.0311742697,false
10,0.000079162,2235921.27535939,false
10,0.000105217,1682237.6612144425,false
10,0.01924049,9199.349912606176,false
10,0.00019959,886817.9768525477,false
10,0.000120989,1462942.9121655687,false
10,0.000118884,1488846.2703139195,false
10,0.000137599,1286346.5577511464,false
10,0.018946622,9342.034690933297,false
10,0.000259619,681768.2835231628,false
10,0.000115422,1533503.1449810262,false
10,0.000108269,1634816.9836241214,false
10,0.00012746,1388670.9555939117,false
10,0.018978075,9326.551823617516,false
10,0.000202526,873961.8616868946,false
10,0.000123506,1433128.7548783054,false
10,0.000093942,1884141.2786613016,false
10,0.000078282,2261056.1814976623,false
10,0.000121561,1456059.0979014651,false
10,0.019030372,9300.921705576748,false
10,0.000198474,891804.4680915384,false
10,0.000106407,1663424.3987707575,false
10,0.000086987,2034786.807224068,false
10,0.000120119,1473538.7407487575,false
10,0.000088866,1991762.8789413273,false
10,0.019070153,9281.51966059213,false
10,0.000093128,1900609.9132376944,false
10,0.000098787,1791733.730146679,false
10,0.000145209,1218932.7107823894,false
10,0.000118223,1497170.601321232,false
10,0.000087868,2014385.2141849136,false
10,0.019048259,9292.187805720198,false
10,0.000217307,814515.8692540968,false
10,0.000064592,2740277.4337379243,false
10,0.000069867,2533384.859805058,false
10,0.000078731,2248161.461177935,false
10,0.00006845,2585829.072315559,false
10,0.000123466,1433593.0539581748,false
10,0.000081199,2179829.800859616,false
10,0.000054733,3233880.8397127874,false
10,0.000112242,1576949.8048858717,false
10,0.000086958,2035465.3970882494,false
10,0.000116438,1520122.2968446726,false
10,0.000127006,1393634.9463804858,false
10,0.018680133,9475.30726895788,false
10,0.000186103,951086.2264444958,false
10,0.000139478,1269017.3360673366,false
10,0.000086464,2047094.7446336045,false
10,0.000136134,1300189.519150249,false
10,0.000100743,1756945.8920222747,false
10,0.000142655,1240755.66927202,false
10,0.000196026,902941.4465428055,false
10,0.000128345,1379095.40691106,false
10,0.000083184,2127813.0409694174,false
10,0.019139362,9247.957168060251,false
10,0.000204771,864380.2100883427,false
10,0.000078677,2249704.4879698004,false
10,0.000100351,1763809.0303036342,false
10,0.000095909,1845499.379620265,false
10,0.019027061,9302.540208390565,false
10,0.000200412,883180.6478653973,false
10,0.000105594,1676231.604068413,false
10,0.000106745,1658157.2907396131,false
10,0.000077127,2294916.1772142053,false
10,0.000122621,1443472.1621908157,false
10,0.000102714,1723231.4971668904,false
10,0.000135225,1308929.5618413757,false
