n,latency,throughput,is_vm
5,0.000362648,41362.4230658931,false
5,0.000185789,80736.74975375291,false
5,0.000231368,64831.7831333633,false
5,0.000196427,76364.24727761459,false
5,0.000202545,74057.61682589055,false
5,0.000198824,75443.60841749486,false
5,0.000168813,88855.71608821595,false
5,0.000243875,61506.919528446946,false
5,0.000190931,78562.41259931598,false
5,0.000220705,67964.02437643008,false
5,0.000270357,55482.19576337953,false
5,0.000168272,89141.3901302653,false
5,0.000188612,79528.3439017666,false
5,0.000125272,119739.44696340762,false
5,0.000163723,91618.15994087575,false
5,0.000217878,68845.86787101038,false
5,0.000158035,94915.68323472649,false
5,0.000106659,140635.10814839817,false
5,0.000177368,84569.93369717197,false
5,0.000281027,53375.65429656225,false
5,0.000092195,162698.62790823798,false
5,0.000161085,93118.53990129435,false
5,0.000194166,77253.48413213436,false
5,0.000271444,55260.0167990451,false
5,0.000164506,91182.0845440288,false
5,0.000154081,97351.39309843523,false
5,0.000172484,86964.58801975835,false
5,0.000167973,89300.0660820489,false
5,0.000217467,68975.9825628716,false
5,0.000182037,82400.83060037246,false
5,0.000207203,72392.77423589428,false
5,0.000178636,83969.63657941288,false
5,0.000195659,76663.99194516991,false
5,0.000169442,88525.86725841291,false
5,0.000243324,61646.200128224096,false
5,0.000199344,75246.80953527571,false
5,0.000227711,65872.97056356522,false
5,0.000234355,64005.46179940688,false
5,0.000440126,34081.149489009964,false
5,0.000210929,71113.97674098867,false
5,0.000150677,99550.69453201219,false
5,0.000278478,53864.219076551824,false
5,0.000261405,57382.222987318535,false
5,0.00029195,51378.66072957698,false
5,0.000344201,43579.18774204607,false
5,0.000165784,90479.17772523283,false
5,0.000222655,67368.79926343447,false
5,0.000189236,79266.1015874358,false
5,0.000119768,125242.13479393495,false
5,0.000291838,51398.378552484595,false
5,0.000243634,61567.761478283,false
5,0.000192637,77866.66112948187,false
5,0.000113197,132512.34573354418,false
5,0.00022938,65393.669892754384,false
5,0.000189987,78952.7704527152,false
5,0.000243096,61704.01816566295,false
5,0.000126086,118966.41974525324,false
5,0.0001739,86256.46923519264,false
5,0.000138656,108181.3985691207,false
5,0.000146994,102044.98142781337,false
5,0.00017886,83864.47500838645,false
5,0.000328292,45691.031155191115,false
5,0.000292755,51237.38279448685,false
5,0.000162471,92324.16862086157,false
5,0.000208129,72070.68692974068,false
5,0.00016244,92341.78773701059,false
5,0.000217275,69036.93476009664,false
5,0.000231976,64661.861571886744,false
5,0.000194729,77030.12905114287,false
5,0.000166612,90029.52968573691,false
5,0.000207231,72382.9928919901,false
5,0.000151839,98788.84871475708,false
5,0.000295911,50690.91720145584,false
5,0.000144459,103835.69040350549,false
5,0.000232674,64467.88210113722,false
5,0.000173126,86642.09881820176,false
5,0.000201923,74285.74258504479,false
5,0.000108623,138092.30089391748,false
5,0.000391636,38300.87121715062,false
5,0.000198125,75709.77917981072,false
5,0.000246874,60759.73978628774,false
5,0.000283399,52928.90941746443,false
5,0.000273806,54783.31373308109,false
5,0.000196235,76438.9634876551,false
5,0.000170009,88230.62308466023,false
5,0.000221624,67682.20048370212,false
5,0.000216266,69359.03008332332,false
5,0.000190777,78625.83015772342,false
5,0.000274674,54610.192446318186,false
5,0.000174049,86182.62673155262,false
5,0.000138487,108313.41569966856,false
5,0.000194932,76949.91073810354,false
5,0.000141363,106109.80242354788,false
5,0.00017229,87062.51088281386,false
5,0.000150378,99748.63344372182,false
5,0.000206088,72784.44159776406,false
5,0.000137921,108757.91213810805,false
5,0.00010824,138580.9312638581,false
5,0.000272393,55067.49439229348,false
5,0.000130915,114578.16140243669,false
