n,latency,throughput,is_vm
10,0.000412594,428993.15065173025,false
10,0.000291507,607189.5357572889,false
10,0.00036452,485570.0647426753,false
10,0.000238367,742552.4506328477,false
10,0.000348678,507631.6831001669,false
10,0.000465874,379931.05431940826,false
10,0.000430591,411062.9344319783,false
10,0.000318534,555670.6662397108,false
10,0.000370597,477607.75181666337,false
10,0.000312003,567302.2374784858,false
10,0.000311207,568753.2735446183,false
10,0.00035842,493834.04943920544,false
10,0.000306263,577934.6509372664,false
10,0.00034153,518256.0829209733,false
10,0.000381861,463519.44817616884,false
10,0.000366591,482826.91064428753,false
10,0.000430584,411069.61707820074,false
10,0.00034951,506423.2783039112,false
10,0.000401666,440664.6318085175,false
10,0.000382,463350.7853403141,false
10,0.00048186,367326.6093886191,false
10,0.000392154,451353.2948790526,false
10,0.000497501,355778.17934034305,false
10,0.00042238,419053.93247786356,false
10,0.000382846,462326.8886184001,false
10,0.000406251,435691.23522157484,false
10,0.000444223,398448.52697856707,false
10,0.000417183,424274.23936258187,false
10,0.000388915,455112.29960274097,false
10,0.000391673,451907.5861752023,false
10,0.000358667,493493.9651543075,false
10,0.000443997,398651.3422387989,false
10,0.000379404,466521.1753170762,false
10,0.00026696,663020.6772550194,false
10,0.000483508,366074.60476351995,false
10,0.000360983,490327.79937005346,false
10,0.00032267,548548.0521895435,false
10,0.000275754,641876.455101286,false
10,0.000277737,637293.554693829,false
10,0.000387114,457229.653280429,false
10,0.00042138,420048.4123593906,false
10,0.000413444,428111.18313483807,false
10,0.0003449,513192.2296317773,false
10,0.000434054,407783.3633603192,false
10,0.00046882,377543.62015272386,false
10,0.000530047,333932.65125545475,false
10,0.00040986,431854.77968086663,false
10,0.000466084,379759.8716111259,false
10,0.000359838,491888.0162739899,false
10,0.000366993,482298.02748281305,false
10,0.000430414,411231.97665503446,false
10,0.000349897,505863.1540138955,false
10,0.000370756,477402.9280712921,false
10,0.000538531,328671.88704085746,false
10,0.00043938,402840.3659702308,false
10,0.00035384,500226.0908885372,false
10,0.00048721,363293.03585722786,false
10,0.0004105,431181.4859926918,false
10,0.000386955,457417.5291700585,false
10,0.000423527,417919.0464834592,false
10,0.00038816,455997.52679307497,false
10,0.000535346,330627.29524457076,false
10,0.000398383,444296.06685024215,false
10,0.00037974,466108.38995101914,false
10,0.000385807,458778.61210397945,false
10,0.00040391,438216.4343541878,false
10,0.000434545,407322.6018018847,false
10,0.000527067,335820.6831389558,false
10,0.00040058,441859.3040091867,false
10,0.00038562,459001.0891551268,false
10,0.000400521,441924.3934774956,false
10,0.000439178,403025.65246893064,false
10,0.000476258,371647.30041280144,false
10,0.000445434,397365.2662347284,false
10,0.000435618,406319.2981006295,false
10,0.000455494,388589.09228222544,false
10,0.000349221,506842.3720223011,false
10,0.000456047,388117.891357689,false
10,0.00047455,372984.9330945106,false
10,0.000381638,463790.2934194184,false
10,0.000388284,455851.9022159038,false
10,0.000490714,360698.89997024747,false
10,0.000464326,381197.69300017663,false
10,0.000410034,431671.51992273814,false
10,0.000393111,450254.5082686569,false
10,0.000398193,444508.06518447085,false
10,0.000407893,433937.33160412166,false
10,0.00059592,297019.7341925091,false
10,0.000478821,369657.97239469446,false
10,0.000514723,343874.2780097256,false
10,0.000558891,316698.60491580644,false
10,0.000466633,379313.0790149861,false
10,0.000416651,424815.97308058786,false
10,0.000389363,454588.64863893075,false
10,0.000456156,388025.14929103205,false
10,0.000535233,330697.0982730886,false
10,0.000345383,512474.55723066855,false
10,0.000396734,446142.7555994697,false
10,0.000351227,503947.5894506971,false
10,0.00042542,416059.4236284143,false
